ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
MMM,3M,Industrials,Industrial Conglomerates,Q4,2011,2012-01-26 17:00:00,0.025,0.744,0.231,1.0
AOS,A. O. Smith,Industrials,Building Products,Q4,2011,2012-01-27 00:00:00,0.02,0.773,0.207,1.0
ABT,Abbott,Health Care,Health Care Equipment,Q4,2011,2012-01-25 17:00:00,0.024,0.743,0.233,1.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,Q4,2011,2011-09-27 21:10:07,0.026,0.761,0.213,1.0
ADBE,Adobe Inc.,Information Technology,Application Software,Q4,2011,2011-12-15 21:20:10,0.012,0.778,0.21,1.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Q4,2011,2011-04-27 22:50:17,0.027,0.766,0.206,1.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Q4,2011,2012-02-27 15:50:02,0.033,0.775,0.192,1.0
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Q4,2011,2011-11-15 21:30:10,0.03,0.772,0.198,1.0
APD,Air Products and Chemicals,Materials,Industrial Gases,Q4,2011,2011-10-21 15:30:07,0.037,0.747,0.216,1.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Q4,2011,2012-02-08 20:50:05,0.022,0.745,0.233,1.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Q4,2011,2012-01-24 11:57:29,0.029,0.749,0.222,1.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Q4,2011,2012-02-08 22:35:05,0.042,0.746,0.211,1.0
ALGN,Align Technology,Health Care,Health Care Supplies,Q4,2011,2012-01-30 00:00:00,0.032,0.768,0.2,1.0
LNT,Alliant Energy,Utilities,Electric Utilities,Q4,2011,2012-02-10 14:22:04,0.029,0.759,0.212,0.9999
ALL,Allstate,Financials,Property & Casualty Insurance,Q4,2011,2012-02-02 16:10:07,0.052,0.758,0.19,1.0
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,Q4,2011,2012-01-20 17:00:00,0.017,0.745,0.238,1.0
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Q4,2011,2012-01-20 17:00:00,0.017,0.745,0.238,1.0
MO,Altria,Consumer Staples,Tobacco,Q4,2011,2012-01-27 13:40:09,0.023,0.773,0.204,1.0
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Q4,2011,2012-02-01 17:00:00,0.023,0.749,0.228,1.0
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Q4,2011,2012-01-25 13:20:05,0.033,0.77,0.197,1.0
AEE,Ameren,Utilities,Multi-Utilities,Q4,2011,2012-02-23 17:22:00,0.031,0.763,0.207,1.0
AAL,American Airlines Group,Industrials,Passenger Airlines,Q4,2011,2012-01-25 16:40:12,0.034,0.76,0.206,1.0
AXP,American Express,Financials,Consumer Finance,Q4,2011,2012-01-19 22:00:06,0.021,0.763,0.216,1.0
AIG,American International Group,Financials,Multi-line Insurance,Q4,2011,2012-02-24 13:12:04,0.048,0.734,0.218,1.0
AMT,American Tower,Real Estate,Telecom Tower REITs,Q4,2011,2012-02-23 13:20:06,0.017,0.803,0.18,1.0
AWK,American Water Works,Utilities,Water Utilities,Q4,2011,2012-02-27 00:00:00,0.015,0.804,0.181,0.9999
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Q4,2011,2012-02-02 17:15:04,0.036,0.736,0.229,1.0
AME,Ametek,Industrials,Electrical Components & Equipment,Q4,2011,2012-01-26 12:55:29,0.028,0.745,0.227,1.0
AMGN,Amgen,Health Care,Biotechnology,Q4,2011,2012-01-26 22:50:07,0.045,0.749,0.206,1.0
APH,Amphenol,Information Technology,Electronic Components,Q4,2011,2012-01-18 16:40:06,0.02,0.755,0.225,1.0
ANSS,Ansys,Information Technology,Application Software,Q4,2011,2012-02-23 15:17:01,0.028,0.748,0.225,1.0
AON,Aon,Financials,Insurance Brokers,Q4,2011,2012-02-03 14:10:04,0.028,0.714,0.257,1.0
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,Q4,2011,2012-02-16 20:10:08,0.025,0.76,0.215,1.0
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Q4,2011,2011-10-18 22:10:11,0.032,0.783,0.185,1.0
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,Q4,2011,2011-11-16 20:20:06,0.033,0.805,0.163,1.0
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,Q4,2011,2012-02-15 15:29:04,0.062,0.741,0.197,0.9999
ADM,Archer-Daniels-Midland,Consumer Staples,Agricultural Products & Services,Q4,2011,2011-08-02 19:50:10,0.027,0.776,0.197,1.0
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Q4,2011,2012-02-01 15:36:00,0.045,0.731,0.224,1.0
AIZ,Assurant,Financials,Multi-line Insurance,Q4,2011,2012-02-02 14:03:01,0.055,0.716,0.23,1.0
T,AT&T,Communication Services,Integrated Telecommunication Services,Q4,2011,2012-01-26 17:00:00,0.027,0.757,0.215,1.0
ADSK,Autodesk,Information Technology,Application Software,Q4,2011,2011-02-24 21:40:14,0.019,0.757,0.224,1.0
AZO,AutoZone,Consumer Discretionary,Automotive Retail,Q4,2011,2011-09-20 13:50:19,0.032,0.75,0.219,1.0
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,Q4,2011,2012-02-02 22:10:07,0.035,0.766,0.198,1.0
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,Q4,2011,2012-01-31 16:20:04,0.037,0.78,0.183,1.0
AXON,Axon Enterprise,Industrials,Aerospace & Defense,Q4,2011,2012-02-23 16:02:03,0.04,0.782,0.178,1.0
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,Q4,2011,2012-01-24 14:20:05,0.048,0.767,0.185,1.0
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",Q4,2011,2012-01-26 14:30:11,0.026,0.772,0.202,1.0
BAC,Bank of America,Financials,Diversified Banks,Q4,2011,2012-01-19 15:40:09,0.038,0.784,0.178,1.0
BK,Bank of New York Mellon,Financials,Asset Management & Custody Banks,Q4,2011,2012-01-18 12:10:12,0.037,0.764,0.199,1.0
BAX,Baxter International,Health Care,Health Care Equipment,Q4,2011,2012-01-26 17:00:00,0.028,0.765,0.207,1.0
BDX,Becton Dickinson,Health Care,Health Care Equipment,Q4,2011,2011-11-02 14:30:37,0.038,0.777,0.186,1.0
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,Q4,2011,2011-03-24 15:20:32,0.03,0.698,0.272,1.0
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,Q4,2011,2012-02-23 23:29:01,0.039,0.749,0.213,0.9999
BIIB,Biogen,Health Care,Biotechnology,Q4,2011,2012-01-31 13:00:02,0.03,0.781,0.189,1.0
BLK,BlackRock,Financials,Asset Management & Custody Banks,Q4,2011,2012-01-19 14:10:16,0.047,0.757,0.197,1.0
BX,Blackstone,Financials,Asset Management & Custody Banks,Q4,2011,2012-02-02 00:00:00,0.045,0.748,0.207,1.0
BA,Boeing,Industrials,Aerospace & Defense,Q4,2011,2012-01-25 15:40:10,0.03,0.769,0.201,1.0
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Q4,2011,2012-02-27 20:20:34,0.046,0.76,0.193,1.0
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,Q4,2011,2012-02-14 17:04:03,0.027,0.78,0.193,1.0
BXP,Boston Properties,Real Estate,Office REITs,Q4,2011,2012-02-01 20:40:03,0.038,0.795,0.167,1.0
BSX,Boston Scientific,Health Care,Health Care Equipment,Q4,2011,2012-02-02 15:50:04,0.031,0.754,0.215,1.0
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,Q4,2011,2012-01-26 15:40:07,0.038,0.749,0.214,1.0
AVGO,Broadcom Inc.,Information Technology,Semiconductors,Q4,2011,2011-12-02 01:52:34,0.043,0.766,0.19,1.0
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,Q4,2011,2011-08-11 15:48:10,0.02,0.746,0.234,1.0
BRO,Brown & Brown,Financials,Insurance Brokers,Q4,2011,2012-02-06 14:33:05,0.058,0.759,0.183,1.0
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,Q4,2011,2011-06-09 14:10:21,0.025,0.746,0.229,1.0
BLDR,Builders FirstSource,Industrials,Building Products,Q4,2011,2012-02-17 00:00:00,0.048,0.738,0.214,1.0
BG,Bunge Global SA,Consumer Staples,Agricultural Products & Services,Q4,2011,2012-02-09 16:12:02,0.041,0.772,0.186,1.0
CDNS,Cadence Design Systems,Information Technology,Application Software,Q4,2011,2012-02-01 00:00:00,0.019,0.737,0.244,1.0
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,Q4,2011,2012-02-03 15:37:04,0.036,0.747,0.217,1.0
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,Q4,2011,2011-09-02 14:00:12,0.038,0.778,0.184,1.0
COF,Capital One,Financials,Consumer Finance,Q4,2011,2012-01-19 22:10:05,0.021,0.732,0.248,1.0
