ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
MMM,3M,Industrials,Industrial Conglomerates,Q4,2022,2023-01-24 10:41:03,0.04,0.755,0.206,1.0
AOS,A. O. Smith,Industrials,Building Products,Q4,2022,2023-01-31 12:55:22,0.032,0.733,0.235,1.0
ABT,Abbott,Health Care,Health Care Equipment,Q4,2022,2023-01-25 00:00:00,0.021,0.735,0.244,1.0
ABBV,AbbVie,Health Care,Biotechnology,Q4,2022,2023-02-09 17:02:03,0.044,0.756,0.2,1.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,Q4,2022,2022-09-22 11:54:04,0.022,0.736,0.241,1.0
ADBE,Adobe Inc.,Information Technology,Application Software,Q4,2022,2022-12-15 20:54:04,0.016,0.702,0.282,1.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Q4,2022,2023-01-31 21:40:27,0.033,0.747,0.221,1.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Q4,2022,2023-02-27 13:31:04,0.023,0.739,0.238,1.0
AFL,Aflac,Financials,Life & Health Insurance,Q4,2022,2023-02-02 12:03:06,0.054,0.754,0.192,1.0
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Q4,2022,2022-11-21 20:22:04,0.022,0.724,0.254,1.0
APD,Air Products and Chemicals,Materials,Industrial Gases,Q4,2022,2022-11-03 15:37:10,0.03,0.698,0.272,1.0
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Q4,2022,2023-02-14 19:05:24,0.023,0.725,0.252,1.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Q4,2022,2023-02-14 20:26:06,0.024,0.763,0.214,1.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Q4,2022,2023-02-16 10:26:06,0.025,0.779,0.196,0.9999
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Q4,2022,2023-01-31 21:41:02,0.03,0.737,0.232,1.0
ALGN,Align Technology,Health Care,Health Care Supplies,Q4,2022,2023-02-01 20:19:07,0.033,0.759,0.207,1.0
