,0,1,2,3,4,5,6,7,8
34,APH,Amphenol,Information Technology,Electronic Components,QQ1,2024,2024-04-24 00:00:00,"{'neg': 0.022, 'neu': 0.72, 'pos': 0.259, 'compound': 1.0}",1
35,ADI,Analog Devices,Information Technology,Semiconductors,QQ1,2024,2024-02-21 13:54:02,"{'neg': 0.047, 'neu': 0.712, 'pos': 0.242, 'compound': 1.0}",1
36,AON,Aon,Financials,Insurance Brokers,QQ1,2024,2024-04-26 00:00:00,"{'neg': 0.034, 'neu': 0.687, 'pos': 0.279, 'compound': 1.0}",1
37,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.04, 'neu': 0.757, 'pos': 0.202, 'compound': 1.0}",1
38,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",QQ1,2024,2024-02-01 20:17:02,"{'neg': 0.025, 'neu': 0.741, 'pos': 0.234, 'compound': 1.0}",1
39,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,QQ1,2024,2024-02-15 19:55:18,"{'neg': 0.018, 'neu': 0.715, 'pos': 0.266, 'compound': 1.0}",1
40,APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.023, 'neu': 0.757, 'pos': 0.22, 'compound': 1.0}",1
41,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,QQ1,2024,2024-04-30 17:45:27,"{'neg': 0.057, 'neu': 0.722, 'pos': 0.221, 'compound': 1.0}",1
42,ADM,Archer-Daniels-Midland,Consumer Staples,Agricultural Products & Services,QQ1,2024,2024-04-30 13:49:10,"{'neg': 0.047, 'neu': 0.729, 'pos': 0.224, 'compound': 1.0}",1
43,ANET,Arista Networks,Information Technology,Communications Equipment,QQ1,2024,2024-05-07 00:00:00,"{'neg': 0.019, 'neu': 0.8, 'pos': 0.182, 'compound': 1.0}",1
44,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,QQ1,2024,2024-04-25 00:00:00,"{'neg': 0.036, 'neu': 0.738, 'pos': 0.226, 'compound': 1.0}",1
45,AIZ,Assurant,Financials,Multi-line Insurance,QQ1,2024,2024-05-08 11:36:08,"{'neg': 0.037, 'neu': 0.732, 'pos': 0.23, 'compound': 1.0}",1
46,T,AT&T,Communication Services,Integrated Telecommunication Services,QQ1,2024,2024-04-24 12:40:08,"{'neg': 0.027, 'neu': 0.738, 'pos': 0.235, 'compound': 1.0}",1
47,ATO,Atmos Energy,Utilities,Gas Utilities,QQ1,2024,2024-02-07 11:29:13,"{'neg': 0.029, 'neu': 0.743, 'pos': 0.227, 'compound': 0.9999}",1
48,ADSK,Autodesk,Information Technology,Application Software,QQ1,2024,2023-05-25 20:04:06,"{'neg': 0.018, 'neu': 0.735, 'pos': 0.247, 'compound': 1.0}",1
49,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,QQ1,2024,2023-10-25 12:48:03,"{'neg': 0.021, 'neu': 0.729, 'pos': 0.25, 'compound': 1.0}",1
50,AZO,AutoZone,Consumer Discretionary,Automotive Retail,QQ1,2024,2023-12-05 12:41:04,"{'neg': 0.048, 'neu': 0.715, 'pos': 0.237, 'compound': 1.0}",1
51,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,QQ1,2024,2024-04-26 00:00:00,"{'neg': 0.041, 'neu': 0.738, 'pos': 0.22, 'compound': 1.0}",1
52,AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,QQ1,2024,2024-04-24 00:00:00,"{'neg': 0.023, 'neu': 0.75, 'pos': 0.227, 'compound': 1.0}",1
53,AXON,Axon Enterprise,Industrials,Aerospace & Defense,QQ1,2024,2024-05-06 00:00:00,"{'neg': 0.037, 'neu': 0.699, 'pos': 0.263, 'compound': 1.0}",1
54,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,QQ1,2024,2024-04-24 00:00:00,"{'neg': 0.016, 'neu': 0.735, 'pos': 0.249, 'compound': 1.0}",1
55,BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",QQ1,2024,2024-04-26 00:00:00,"{'neg': 0.028, 'neu': 0.728, 'pos': 0.243, 'compound': 1.0}",1
56,BAC,Bank of America,Financials,Diversified Banks,QQ1,2024,2024-04-16 12:40:25,"{'neg': 0.028, 'neu': 0.722, 'pos': 0.25, 'compound': 1.0}",1
57,BK,Bank of New York Mellon,Financials,Asset Management & Custody Banks,QQ1,2024,2024-04-16 15:37:03,"{'neg': 0.019, 'neu': 0.725, 'pos': 0.256, 'compound': 1.0}",1
58,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Other Specialty Retail,QQ1,2024,2023-05-18 00:00:00,"{'neg': 0.02, 'neu': 0.715, 'pos': 0.265, 'compound': 1.0}",1
59,BAX,Baxter International,Health Care,Health Care Equipment,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.023, 'neu': 0.732, 'pos': 0.245, 'compound': 1.0}",1
60,BDX,Becton Dickinson,Health Care,Health Care Equipment,QQ1,2024,2024-02-01 11:41:06,"{'neg': 0.013, 'neu': 0.686, 'pos': 0.301, 'compound': 1.0}",1
61,BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,QQ1,2024,2023-05-25 11:34:02,"{'neg': 0.03, 'neu': 0.726, 'pos': 0.243, 'compound': 1.0}",1
62,BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,QQ1,2024,2024-05-07 00:00:00,"{'neg': 0.035, 'neu': 0.755, 'pos': 0.21, 'compound': 0.9999}",1
63,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,QQ1,2024,2023-10-31 16:08:09,"{'neg': 0.03, 'neu': 0.728, 'pos': 0.242, 'compound': 1.0}",1
64,BIIB,Biogen,Health Care,Biotechnology,QQ1,2024,2024-06-05 22:54:07,"{'neg': 0.025, 'neu': 0.758, 'pos': 0.217, 'compound': 1.0}",1
65,BLK,BlackRock,Financials,Asset Management & Custody Banks,QQ1,2024,2024-04-12 11:16:04,"{'neg': 0.022, 'neu': 0.753, 'pos': 0.225, 'compound': 1.0}",1
66,BX,Blackstone,Financials,Asset Management & Custody Banks,QQ1,2024,2024-04-18 12:58:08,"{'neg': 0.031, 'neu': 0.75, 'pos': 0.219, 'compound': 1.0}",1
67,BA,Boeing,Industrials,Aerospace & Defense,QQ1,2024,2024-04-24 00:00:00,"{'neg': 0.028, 'neu': 0.755, 'pos': 0.216, 'compound': 1.0}",1
68,BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.033, 'neu': 0.723, 'pos': 0.244, 'compound': 1.0}",1
69,BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.013, 'neu': 0.759, 'pos': 0.228, 'compound': 1.0}",1
70,BXP,Boston Properties,Real Estate,Office REITs,QQ1,2024,2024-05-01 00:00:00,"{'neg': 0.035, 'neu': 0.795, 'pos': 0.17, 'compound': 1.0}",1
71,BSX,Boston Scientific,Health Care,Health Care Equipment,QQ1,2024,2024-04-24 00:00:00,"{'neg': 0.025, 'neu': 0.752, 'pos': 0.224, 'compound': 1.0}",1
72,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,QQ1,2024,2024-04-25 00:00:00,"{'neg': 0.027, 'neu': 0.728, 'pos': 0.245, 'compound': 1.0}",1
73,AVGO,Broadcom Inc.,Information Technology,Semiconductors,QQ1,2024,2024-03-07 22:18:06,"{'neg': 0.029, 'neu': 0.778, 'pos': 0.192, 'compound': 1.0}",1
74,BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,QQ1,2024,2023-11-02 14:28:05,"{'neg': 0.016, 'neu': 0.704, 'pos': 0.28, 'compound': 1.0}",1
