ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
ADSK,Autodesk,Information Technology,Application Software,Q4,2024,2024-02-29 20:08:06,0.018,0.758,0.224,1.0
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Other Specialty Retail,Q4,2024,2024-02-29 00:00:00,0.023,0.741,0.236,1.0
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,Q4,2024,2024-02-29 00:00:00,0.029,0.74,0.231,1.0
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,Q4,2024,2024-06-05 16:54:08,0.036,0.724,0.24,1.0
KMX,CarMax,Consumer Discretionary,Automotive Retail,Q4,2024,2024-04-11 12:27:09,0.03,0.734,0.236,1.0
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,Q4,2024,2024-04-11 14:47:08,0.019,0.729,0.252,1.0
DECK,Deckers Brands,Consumer Discretionary,Footwear,Q4,2024,2024-05-23 19:52:07,0.027,0.711,0.263,1.0
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,Q4,2024,2024-03-14 00:00:00,0.028,0.73,0.242,1.0
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,Q4,2024,2024-05-07 20:34:08,0.017,0.725,0.258,1.0
GEN,Gen Digital,Information Technology,Systems Software,Q4,2024,2024-05-09 18:48:10,0.031,0.733,0.236,1.0
KR,Kroger,Consumer Staples,Food Retail,Q4,2024,2024-03-07 00:00:00,0.025,0.672,0.302,1.0
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,Q4,2024,2024-02-27 00:00:00,0.04,0.738,0.222,1.0
MCK,McKesson Corporation,Health Care,Health Care Distributors,Q4,2024,2024-05-07 20:01:13,0.018,0.673,0.309,1.0
MDT,Medtronic,Health Care,Health Care Equipment,Q4,2024,2024-05-23 12:05:23,0.02,0.705,0.276,1.0
MCHP,Microchip Technology,Information Technology,Semiconductors,Q4,2024,2024-05-06 21:24:09,0.039,0.751,0.21,1.0
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",Q4,2024,2024-05-30 21:20:27,0.035,0.713,0.252,1.0
NVDA,Nvidia,Information Technology,Semiconductors,Q4,2024,2024-02-21 20:59:03,0.024,0.798,0.178,1.0
ORCL,Oracle Corporation,Information Technology,Application Software,Q4,2024,2024-06-11 19:19:09,0.028,0.81,0.162,0.9999
QRVO,Qorvo,Information Technology,Semiconductors,Q4,2024,2024-05-01 20:08:17,0.042,0.715,0.243,1.0
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Q4,2024,2024-05-23 17:19:03,0.026,0.727,0.247,1.0
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,Q4,2024,2024-03-05 00:00:00,0.026,0.765,0.209,1.0
CRM,Salesforce,Information Technology,Application Software,Q4,2024,2024-02-28 22:36:04,0.027,0.736,0.237,1.0
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,Q4,2024,2024-06-06 08:59:09,0.02,0.723,0.257,1.0
STE,Steris,Health Care,Health Care Equipment,Q4,2024,2024-05-09 14:30:10,0.029,0.746,0.225,0.9999
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,Q4,2024,2024-05-16 19:57:05,0.024,0.732,0.244,1.0
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,Q4,2024,2024-03-05 00:00:00,0.015,0.722,0.263,1.0
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,Q4,2024,2024-02-28 14:23:06,0.012,0.714,0.275,1.0
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,Q4,2024,2024-02-20 11:58:09,0.018,0.714,0.267,1.0
