ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
MMM,3M,Industrials,Industrial Conglomerates,Q2,2021,2021-07-27 13:04:07,0.035,0.727,0.238,1.0
AOS,A. O. Smith,Industrials,Building Products,Q2,2021,2021-07-29 16:35:08,0.025,0.758,0.217,1.0
ABT,Abbott,Health Care,Health Care Equipment,Q2,2021,2021-07-22 00:00:00,0.018,0.722,0.261,1.0
ABBV,AbbVie,Health Care,Biotechnology,Q2,2021,2021-07-30 17:52:06,0.029,0.742,0.229,1.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,Q2,2021,2021-03-18 13:32:08,0.023,0.693,0.285,1.0
ADBE,Adobe Inc.,Information Technology,Application Software,Q2,2021,2021-06-17 23:06:03,0.016,0.716,0.268,1.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Q2,2021,2020-10-21 21:33:03,0.018,0.744,0.238,1.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Q2,2021,2021-08-05 12:39:05,0.017,0.742,0.241,1.0
AFL,Aflac,Financials,Life & Health Insurance,Q2,2021,2021-07-29 15:45:18,0.045,0.727,0.228,1.0
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Q2,2021,2021-05-25 23:27:10,0.019,0.704,0.277,1.0
APD,Air Products and Chemicals,Materials,Industrial Gases,Q2,2021,2021-05-10 14:30:06,0.044,0.734,0.223,1.0
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Q2,2021,2021-08-12 23:00:51,0.023,0.737,0.24,1.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Q2,2021,2021-08-03 19:49:03,0.049,0.733,0.218,1.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Q2,2021,2021-08-05 15:18:06,0.031,0.788,0.18,1.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Q2,2021,2021-07-27 18:04:07,0.028,0.736,0.237,1.0
ALGN,Align Technology,Health Care,Health Care Supplies,Q2,2021,2021-07-29 00:36:03,0.022,0.743,0.235,1.0
ALLE,Allegion,Industrials,Building Products,Q2,2021,2021-07-22 13:59:07,0.026,0.714,0.259,1.0
LNT,Alliant Energy,Utilities,Electric Utilities,Q2,2021,2021-08-06 13:35:14,0.025,0.683,0.292,0.9999
ALL,Allstate,Financials,Property & Casualty Insurance,Q2,2021,2021-08-05 14:40:43,0.037,0.724,0.239,1.0
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Q2,2021,2021-07-27 22:55:03,0.013,0.723,0.265,1.0
MO,Altria,Consumer Staples,Tobacco,Q2,2021,2021-07-29 15:21:05,0.03,0.753,0.218,1.0
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Q2,2021,2021-07-29 20:51:07,0.029,0.739,0.232,1.0
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Q2,2021,2021-02-03 00:36:05,0.029,0.714,0.256,1.0
AEE,Ameren,Utilities,Multi-Utilities,Q2,2021,2021-08-06 15:19:09,0.011,0.733,0.256,1.0
AAL,American Airlines Group,Industrials,Passenger Airlines,Q2,2021,2021-07-22 13:57:07,0.049,0.759,0.192,1.0
AEP,American Electric Power,Utilities,Electric Utilities,Q2,2021,2021-07-22 16:25:42,0.032,0.712,0.256,1.0
AXP,American Express,Financials,Consumer Finance,Q2,2021,2021-07-23 14:35:03,0.023,0.745,0.232,1.0
AIG,American International Group,Financials,Multi-line Insurance,Q2,2021,2021-08-06 00:00:00,0.041,0.759,0.201,1.0
AMT,American Tower,Real Estate,Telecom Tower REITs,Q2,2021,2021-07-29 17:51:12,0.019,0.772,0.209,1.0
AWK,American Water Works,Utilities,Water Utilities,Q2,2021,2021-08-03 13:48:05,0.021,0.741,0.239,0.9999
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Q2,2021,2021-07-27 14:34:29,0.036,0.709,0.255,1.0
AME,Ametek,Industrials,Electrical Components & Equipment,Q2,2021,2021-08-03 11:22:08,0.022,0.707,0.271,1.0
AMGN,Amgen,Health Care,Biotechnology,Q2,2021,2021-08-03 22:31:06,0.044,0.726,0.229,1.0
APH,Amphenol,Information Technology,Electronic Components,Q2,2021,2021-07-28 19:44:05,0.025,0.713,0.262,1.0
ADI,Analog Devices,Information Technology,Semiconductors,Q2,2021,2021-05-19 14:54:05,0.029,0.723,0.248,1.0
ANSS,Ansys,Information Technology,Application Software,Q2,2021,2021-08-05 14:21:21,0.022,0.744,0.234,1.0
AON,Aon,Financials,Insurance Brokers,Q2,2021,2021-07-30 13:14:04,0.027,0.673,0.301,1.0
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,Q2,2021,2021-08-05 16:24:19,0.044,0.716,0.24,1.0
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Q2,2021,2021-04-28 21:17:11,0.027,0.736,0.237,1.0
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,Q2,2021,2021-05-20 23:25:38,0.024,0.755,0.222,1.0
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,Q2,2021,2021-08-05 14:39:08,0.023,0.756,0.221,1.0
