ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
MMM,3M,Industrials,Industrial Conglomerates,Q1,2015,2015-04-23 14:34:03,0.02,0.749,0.231,1.0
AOS,A. O. Smith,Industrials,Building Products,Q1,2015,2015-04-24 16:07:10,0.025,0.751,0.224,1.0
ABT,Abbott,Health Care,Health Care Equipment,Q1,2015,2015-04-22 17:00:00,0.035,0.688,0.278,1.0
ABBV,AbbVie,Health Care,Biotechnology,Q1,2015,2015-04-23 17:29:06,0.026,0.747,0.227,1.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,Q1,2015,2014-12-18 15:47:06,0.032,0.714,0.254,1.0
ADBE,Adobe Inc.,Information Technology,Application Software,Q1,2015,2015-03-17 20:53:04,0.01,0.766,0.224,1.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Q1,2015,2014-07-22 23:03:02,0.032,0.779,0.189,1.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Q1,2015,2015-05-11 15:13:07,0.034,0.757,0.209,1.0
AFL,Aflac,Financials,Life & Health Insurance,Q1,2015,2015-04-29 15:52:02,0.035,0.724,0.241,1.0
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Q1,2015,2015-02-17 23:07:05,0.027,0.743,0.229,1.0
APD,Air Products and Chemicals,Materials,Industrial Gases,Q1,2015,2015-01-29 17:14:09,0.02,0.711,0.269,1.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Q1,2015,2015-04-28 20:27:03,0.027,0.734,0.239,1.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Q1,2015,2015-05-07 12:55:16,0.037,0.749,0.214,1.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Q1,2015,2015-04-28 20:34:20,0.022,0.772,0.205,1.0
ALGN,Align Technology,Health Care,Health Care Supplies,Q1,2015,2015-04-24 21:16:05,0.024,0.725,0.252,1.0
ALLE,Allegion,Industrials,Building Products,Q1,2015,2015-04-30 13:33:05,0.022,0.733,0.245,1.0
LNT,Alliant Energy,Utilities,Electric Utilities,Q1,2015,2015-05-01 15:56:04,0.023,0.767,0.211,0.9999
ALL,Allstate,Financials,Property & Casualty Insurance,Q1,2015,2015-05-06 15:20:17,0.042,0.765,0.193,1.0
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Q1,2015,2015-04-24 17:00:00,0.033,0.706,0.261,1.0
MO,Altria,Consumer Staples,Tobacco,Q1,2015,2015-04-23 12:27:06,0.021,0.716,0.263,1.0
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Q1,2015,2015-04-23 22:55:04,0.016,0.744,0.24,1.0
AEE,Ameren,Utilities,Multi-Utilities,Q1,2015,2015-05-07 19:10:07,0.023,0.779,0.197,1.0
AAL,American Airlines Group,Industrials,Passenger Airlines,Q1,2015,2015-04-24 14:46:01,0.049,0.745,0.206,1.0
AEP,American Electric Power,Utilities,Electric Utilities,Q1,2015,2015-04-23 22:49:10,0.029,0.758,0.213,1.0
AXP,American Express,Financials,Consumer Finance,Q1,2015,2015-04-16 21:05:08,0.021,0.763,0.215,1.0
AIG,American International Group,Financials,Multi-line Insurance,Q1,2015,2015-05-01 14:49:01,0.049,0.719,0.232,1.0
AMT,American Tower,Real Estate,Telecom Tower REITs,Q1,2015,2015-04-23 16:47:02,0.021,0.801,0.178,1.0
AWK,American Water Works,Utilities,Water Utilities,Q1,2015,2015-05-07 18:10:06,0.024,0.776,0.2,1.0
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Q1,2015,2015-04-23 13:21:01,0.023,0.731,0.246,1.0
AME,Ametek,Industrials,Electrical Components & Equipment,Q1,2015,2015-04-29 12:09:01,0.029,0.745,0.226,1.0
AMGN,Amgen,Health Care,Biotechnology,Q1,2015,2015-04-21 21:18:08,0.036,0.72,0.245,1.0
APH,Amphenol,Information Technology,Electronic Components,Q1,2015,2015-04-22 19:01:07,0.026,0.727,0.247,1.0
ADI,Analog Devices,Information Technology,Semiconductors,Q1,2015,2015-02-18 07:16:06,0.021,0.752,0.226,1.0
ANSS,Ansys,Information Technology,Application Software,Q1,2015,2015-05-10 10:46:06,0.017,0.779,0.204,1.0
AON,Aon,Financials,Insurance Brokers,Q1,2015,2015-05-01 13:23:00,0.024,0.698,0.278,1.0
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,Q1,2015,2015-05-07 20:35:03,0.026,0.77,0.204,1.0
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Q1,2015,2015-01-27 20:38:04,0.023,0.78,0.197,1.0
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,Q1,2015,2015-02-11 20:30:20,0.025,0.751,0.224,1.0
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,Q1,2015,2015-04-29 19:39:04,0.053,0.773,0.174,1.0
ADM,Archer-Daniels-Midland,Consumer Staples,Agricultural Products & Services,Q1,2015,2015-05-05 13:57:03,0.039,0.754,0.207,1.0
ANET,Arista Networks,Information Technology,Communications Equipment,Q1,2015,2015-05-14 00:00:00,0.031,0.798,0.171,1.0
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Q1,2015,2015-04-24 13:27:04,0.023,0.716,0.261,1.0
AIZ,Assurant,Financials,Multi-line Insurance,Q1,2015,2015-05-06 11:02:11,0.034,0.769,0.198,1.0
T,AT&T,Communication Services,Integrated Telecommunication Services,Q1,2015,2015-04-22 20:41:03,0.021,0.76,0.219,1.0
ATO,Atmos Energy,Utilities,Gas Utilities,Q1,2015,2015-02-04 10:38:05,0.03,0.733,0.237,0.9999
ADSK,Autodesk,Information Technology,Application Software,Q1,2015,2014-05-16 00:01:25,0.017,0.725,0.258,1.0
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,Q1,2015,2014-10-29 12:20:22,0.028,0.737,0.235,1.0
AZO,AutoZone,Consumer Discretionary,Automotive Retail,Q1,2015,2014-12-09 14:27:04,0.032,0.726,0.242,1.0
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,Q1,2015,2015-04-28 21:07:05,0.029,0.789,0.183,1.0
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,Q1,2015,2015-04-29 18:20:06,0.029,0.692,0.279,1.0
AXON,Axon Enterprise,Industrials,Aerospace & Defense,Q1,2015,2015-04-30 13:55:05,0.052,0.726,0.222,0.9999
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",Q1,2015,2015-05-02 14:07:04,0.027,0.811,0.162,1.0
BAC,Bank of America,Financials,Diversified Banks,Q1,2015,2015-04-15 14:57:06,0.04,0.763,0.197,1.0
BK,Bank of New York Mellon,Financials,Asset Management & Custody Banks,Q1,2015,2015-04-22 12:53:06,0.018,0.721,0.26,1.0
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Other Specialty Retail,Q1,2015,2014-05-22 00:00:00,0.011,0.745,0.244,1.0
BAX,Baxter International,Health Care,Health Care Equipment,Q1,2015,2015-04-23 17:00:00,0.039,0.741,0.221,1.0
BDX,Becton Dickinson,Health Care,Health Care Equipment,Q1,2015,2015-02-05 14:54:18,0.026,0.711,0.263,1.0
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,Q1,2015,2014-05-22 13:59:02,0.045,0.75,0.205,1.0
