ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
MMM,3M,Industrials,Industrial Conglomerates,Q1,2010,2010-04-28 17:00:00,0.063,0.703,0.234,1.0
ABT,Abbott,Health Care,Health Care Equipment,Q1,2010,2010-04-21 17:00:00,0.025,0.737,0.238,1.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,Q1,2010,2009-12-17 22:42:08,0.038,0.754,0.208,1.0
ADBE,Adobe Inc.,Information Technology,Application Software,Q1,2010,2010-03-24 15:10:29,0.015,0.798,0.187,1.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Q1,2010,2009-07-15 21:45:43,0.043,0.803,0.154,0.9999
AFL,Aflac,Financials,Life & Health Insurance,Q1,2010,2010-04-29 03:39:12,0.039,0.768,0.194,1.0
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Q1,2010,2010-02-12 12:32:09,0.031,0.79,0.18,1.0
APD,Air Products and Chemicals,Materials,Industrial Gases,Q1,2010,2010-01-22 14:52:08,0.036,0.748,0.216,1.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Q1,2010,2010-04-28 22:08:18,0.022,0.721,0.257,1.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Q1,2010,2010-04-29 19:21:11,0.042,0.75,0.208,1.0
ALGN,Align Technology,Health Care,Health Care Supplies,Q1,2010,2010-04-23 13:51:10,0.034,0.753,0.213,1.0
ALL,Allstate,Financials,Property & Casualty Insurance,Q1,2010,2010-04-29 15:50:26,0.053,0.738,0.209,1.0
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Q1,2010,2010-04-16 17:00:00,0.014,0.768,0.218,1.0
MO,Altria,Consumer Staples,Tobacco,Q1,2010,2010-04-21 15:02:10,0.019,0.738,0.243,1.0
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Q1,2010,2010-04-23 17:00:00,0.029,0.729,0.242,1.0
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Q1,2010,2010-04-29 16:20:29,0.029,0.729,0.242,1.0
AAL,American Airlines Group,Industrials,Passenger Airlines,Q1,2010,2010-04-21 16:18:09,0.053,0.774,0.173,0.9999
AEP,American Electric Power,Utilities,Electric Utilities,Q1,2010,2010-04-29 14:26:18,0.037,0.743,0.22,1.0
AXP,American Express,Financials,Consumer Finance,Q1,2010,2010-04-22 21:26:09,0.033,0.768,0.199,1.0
AMT,American Tower,Real Estate,Telecom Tower REITs,Q1,2010,2010-05-04 14:25:32,0.019,0.783,0.198,1.0
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Q1,2010,2010-04-27 15:55:18,0.039,0.739,0.222,1.0
AMGN,Amgen,Health Care,Biotechnology,Q1,2010,2010-04-22 01:42:09,0.053,0.76,0.188,1.0
APH,Amphenol,Information Technology,Electronic Components,Q1,2010,2010-04-20 19:14:10,0.022,0.74,0.238,1.0
ADI,Analog Devices,Information Technology,Semiconductors,Q1,2010,2010-02-17 23:16:09,0.044,0.737,0.218,1.0
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,Q1,2010,2010-04-30 12:50:12,0.042,0.774,0.183,1.0
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Q1,2010,2010-01-25 20:46:08,0.03,0.781,0.189,1.0
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,Q1,2010,2010-02-17 23:03:09,0.026,0.743,0.232,1.0
ADM,Archer-Daniels-Midland,Consumer Staples,Agricultural Products & Services,Q1,2010,2009-11-03 15:57:06,0.052,0.778,0.17,1.0
AIZ,Assurant,Financials,Multi-line Insurance,Q1,2010,2010-04-29 14:43:14,0.065,0.736,0.198,1.0
T,AT&T,Communication Services,Integrated Telecommunication Services,Q1,2010,2010-04-21 17:00:00,0.017,0.73,0.253,1.0
