ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
MMM,3M,Industrials,Industrial Conglomerates,Q2,2010,2010-07-22 17:00:00,0.04,0.718,0.242,1.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,Q2,2010,2010-03-25 23:14:09,0.033,0.751,0.216,1.0
ADBE,Adobe Inc.,Information Technology,Application Software,Q2,2010,2010-06-23 15:45:23,0.012,0.775,0.213,1.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Q2,2010,2009-10-14 20:46:08,0.032,0.769,0.199,1.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Q2,2010,2010-08-06 15:24:14,0.033,0.734,0.233,1.0
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Q2,2010,2010-05-18 01:50:14,0.04,0.801,0.159,0.9999
APD,Air Products and Chemicals,Materials,Industrial Gases,Q2,2010,2010-04-22 19:14:09,0.04,0.722,0.237,1.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Q2,2010,2010-07-29 03:58:22,0.024,0.778,0.198,1.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Q2,2010,2010-07-31 16:14:12,0.027,0.751,0.222,1.0
ALGN,Align Technology,Health Care,Health Care Supplies,Q2,2010,2010-07-22 22:44:12,0.035,0.74,0.226,1.0
ALL,Allstate,Financials,Property & Casualty Insurance,Q2,2010,2010-08-05 17:05:17,0.057,0.765,0.177,1.0
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Q2,2010,2010-07-16 17:00:00,0.019,0.726,0.255,1.0
MO,Altria,Consumer Staples,Tobacco,Q2,2010,2010-07-22 00:08:13,0.021,0.763,0.216,1.0
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Q2,2010,2010-07-23 17:00:00,0.023,0.762,0.215,1.0
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Q2,2010,2010-07-27 14:38:15,0.025,0.759,0.216,1.0
AAL,American Airlines Group,Industrials,Passenger Airlines,Q2,2010,2010-07-23 03:51:12,0.039,0.746,0.215,1.0
AEP,American Electric Power,Utilities,Electric Utilities,Q2,2010,2010-07-30 15:57:12,0.025,0.755,0.219,1.0
AXP,American Express,Financials,Consumer Finance,Q2,2010,2010-07-23 09:05:16,0.033,0.761,0.206,1.0
AMT,American Tower,Real Estate,Telecom Tower REITs,Q2,2010,2010-08-03 16:05:20,0.017,0.801,0.181,1.0
AMGN,Amgen,Health Care,Biotechnology,Q2,2010,2010-07-30 01:20:51,0.035,0.787,0.178,1.0
APH,Amphenol,Information Technology,Electronic Components,Q2,2010,2010-07-21 19:07:25,0.025,0.728,0.246,1.0
