ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
MMM,3M,Industrials,Industrial Conglomerates,Q4,2010,2011-01-25 17:00:00,0.035,0.722,0.243,1.0
ABT,Abbott,Health Care,Health Care Equipment,Q4,2010,2011-01-27 17:00:00,0.037,0.772,0.191,1.0
ADBE,Adobe Inc.,Information Technology,Application Software,Q4,2010,2010-12-21 17:00:00,0.012,0.733,0.254,1.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Q4,2010,2010-04-28 22:40:23,0.039,0.76,0.201,1.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Q4,2010,2011-02-28 17:00:27,0.032,0.775,0.193,1.0
AFL,Aflac,Financials,Life & Health Insurance,Q4,2010,2011-02-02 17:20:18,0.05,0.742,0.208,1.0
APD,Air Products and Chemicals,Materials,Industrial Gases,Q4,2010,2010-10-22 17:00:00,0.02,0.766,0.214,1.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Q4,2010,2011-02-09 22:30:13,0.025,0.762,0.213,1.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Q4,2010,2011-02-03 20:11:22,0.031,0.742,0.227,1.0
ALL,Allstate,Financials,Property & Casualty Insurance,Q4,2010,2011-02-10 15:30:16,0.059,0.782,0.159,0.9999
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,Q4,2010,2011-01-21 17:00:00,0.022,0.743,0.235,1.0
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Q4,2010,2011-01-21 17:00:00,0.022,0.743,0.235,1.0
MO,Altria,Consumer Staples,Tobacco,Q4,2010,2011-01-27 14:05:24,0.022,0.793,0.186,1.0
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Q4,2010,2011-01-28 17:00:00,0.021,0.725,0.254,1.0
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Q4,2010,2011-02-01 16:05:21,0.023,0.776,0.2,1.0
AEE,Ameren,Utilities,Multi-Utilities,Q4,2010,2011-02-22 17:33:52,0.022,0.794,0.184,1.0
