ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
MMM,3M,Industrials,Industrial Conglomerates,Q4,2013,2014-01-30 17:00:00,0.028,0.709,0.263,1.0
AOS,A. O. Smith,Industrials,Building Products,Q4,2013,2014-01-28 14:01:10,0.019,0.787,0.194,1.0
ABT,Abbott,Health Care,Health Care Equipment,Q4,2013,2014-01-22 17:00:00,0.033,0.703,0.264,1.0
ABBV,AbbVie,Health Care,Biotechnology,Q4,2013,2014-01-31 11:50:10,0.044,0.742,0.214,1.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,Q4,2013,2013-09-26 21:30:07,0.029,0.742,0.229,1.0
ADBE,Adobe Inc.,Information Technology,Application Software,Q4,2013,2013-12-12 21:40:07,0.007,0.756,0.237,1.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Q4,2013,2013-04-24 20:40:12,0.025,0.786,0.188,1.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Q4,2013,2014-02-26 16:51:05,0.036,0.783,0.182,1.0
AFL,Aflac,Financials,Life & Health Insurance,Q4,2013,2014-02-05 12:28:07,0.032,0.763,0.205,1.0
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Q4,2013,2013-11-14 21:45:07,0.022,0.74,0.238,1.0
APD,Air Products and Chemicals,Materials,Industrial Gases,Q4,2013,2013-10-29 15:40:09,0.039,0.744,0.217,1.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Q4,2013,2014-02-05 20:30:07,0.023,0.782,0.196,1.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Q4,2013,2014-01-29 13:20:08,0.028,0.778,0.195,1.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Q4,2013,2014-02-04 20:59:08,0.023,0.746,0.231,1.0
ALGN,Align Technology,Health Care,Health Care Supplies,Q4,2013,2014-01-30 21:20:02,0.023,0.771,0.206,1.0
LNT,Alliant Energy,Utilities,Electric Utilities,Q4,2013,2014-02-25 15:51:04,0.016,0.807,0.177,0.9999
ALL,Allstate,Financials,Property & Casualty Insurance,Q4,2013,2014-02-06 15:50:17,0.048,0.756,0.196,1.0
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,Q4,2013,2014-01-31 17:00:00,0.014,0.731,0.254,1.0
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Q4,2013,2014-01-31 17:00:00,0.014,0.731,0.254,1.0
MO,Altria,Consumer Staples,Tobacco,Q4,2013,2014-01-30 11:04:09,0.024,0.732,0.244,1.0
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Q4,2013,2013-11-06 18:49:04,0.03,0.741,0.229,0.9999
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Q4,2013,2014-01-30 14:30:05,0.033,0.767,0.2,1.0
AEE,Ameren,Utilities,Multi-Utilities,Q4,2013,2014-02-21 17:29:03,0.021,0.752,0.227,1.0
AAL,American Airlines Group,Industrials,Passenger Airlines,Q4,2013,2014-01-28 00:00:00,0.024,0.789,0.187,1.0
AEP,American Electric Power,Utilities,Electric Utilities,Q4,2013,2014-01-27 12:50:04,0.026,0.763,0.211,1.0
AXP,American Express,Financials,Consumer Finance,Q4,2013,2014-01-16 20:15:04,0.022,0.724,0.254,1.0
AIG,American International Group,Financials,Multi-line Insurance,Q4,2013,2014-02-14 11:25:02,0.071,0.719,0.211,1.0
AMT,American Tower,Real Estate,Telecom Tower REITs,Q4,2013,2014-02-13 18:16:03,0.018,0.778,0.205,1.0
AWK,American Water Works,Utilities,Water Utilities,Q4,2013,2014-02-27 14:50:13,0.024,0.796,0.18,1.0
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Q4,2013,2014-02-05 12:50:18,0.022,0.686,0.292,1.0
AME,Ametek,Industrials,Electrical Components & Equipment,Q4,2013,2014-01-29 11:40:04,0.014,0.767,0.219,1.0
AMGN,Amgen,Health Care,Biotechnology,Q4,2013,2014-01-28 21:33:05,0.028,0.775,0.197,1.0
APH,Amphenol,Information Technology,Electronic Components,Q4,2013,2014-01-22 17:00:06,0.021,0.752,0.228,1.0
ADI,Analog Devices,Information Technology,Semiconductors,Q4,2013,2013-07-25 21:50:08,0.034,0.763,0.203,1.0
ANSS,Ansys,Information Technology,Application Software,Q4,2013,2014-02-27 15:30:11,0.019,0.769,0.213,1.0
AON,Aon,Financials,Insurance Brokers,Q4,2013,2014-01-31 13:10:07,0.022,0.712,0.266,1.0
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,Q4,2013,2014-02-13 20:03:03,0.026,0.76,0.214,1.0
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Q4,2013,2013-10-28 20:43:04,0.024,0.75,0.226,1.0
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,Q4,2013,2013-11-14 19:47:04,0.034,0.721,0.245,1.0
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,Q4,2013,2014-02-12 14:40:08,0.043,0.791,0.166,1.0
ADM,Archer-Daniels-Midland,Consumer Staples,Agricultural Products & Services,Q4,2013,2014-02-04 14:00:12,0.045,0.753,0.202,1.0
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Q4,2013,2014-01-29 13:20:11,0.024,0.74,0.236,1.0
AIZ,Assurant,Financials,Multi-line Insurance,Q4,2013,2014-02-06 12:16:03,0.04,0.767,0.193,1.0
T,AT&T,Communication Services,Integrated Telecommunication Services,Q4,2013,2014-01-28 19:20:05,0.028,0.702,0.27,1.0
ATO,Atmos Energy,Utilities,Gas Utilities,Q4,2013,2013-11-07 12:20:12,0.03,0.741,0.229,0.9999
ADSK,Autodesk,Information Technology,Application Software,Q4,2013,2013-02-25 21:50:06,0.016,0.769,0.215,1.0
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,Q4,2013,2013-08-01 15:50:07,0.025,0.723,0.252,1.0
AZO,AutoZone,Consumer Discretionary,Automotive Retail,Q4,2013,2013-09-25 13:50:05,0.036,0.76,0.203,1.0
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,Q4,2013,2014-01-30 18:00:08,0.031,0.786,0.183,1.0
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,Q4,2013,2014-01-31 17:30:08,0.023,0.764,0.213,1.0
AXON,Axon Enterprise,Industrials,Aerospace & Defense,Q4,2013,2014-02-26 17:07:09,0.047,0.745,0.208,1.0
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,Q4,2013,2014-01-21 14:54:04,0.05,0.722,0.228,1.0
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",Q4,2013,2014-01-30 15:50:14,0.025,0.781,0.194,1.0
BAC,Bank of America,Financials,Diversified Banks,Q4,2013,2014-01-15 13:28:05,0.035,0.776,0.189,1.0
BK,Bank of New York Mellon,Financials,Asset Management & Custody Banks,Q4,2013,2014-01-17 12:20:03,0.028,0.742,0.23,1.0
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Other Specialty Retail,Q4,2013,2013-02-28 00:00:00,0.021,0.761,0.218,1.0
BAX,Baxter International,Health Care,Health Care Equipment,Q4,2013,2014-01-23 17:00:00,0.027,0.771,0.203,1.0
BDX,Becton Dickinson,Health Care,Health Care Equipment,Q4,2013,2013-11-05 12:30:05,0.022,0.776,0.202,1.0
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,Q4,2013,2013-03-01 10:25:05,0.033,0.717,0.249,1.0
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,Q4,2013,2014-02-27 19:20:07,0.024,0.778,0.198,0.9999
BIIB,Biogen,Health Care,Biotechnology,Q4,2013,2014-01-29 12:50:04,0.024,0.8,0.176,1.0
BLK,BlackRock,Financials,Asset Management & Custody Banks,Q4,2013,2014-01-16 13:20:09,0.026,0.762,0.212,1.0
BX,Blackstone,Financials,Asset Management & Custody Banks,Q4,2013,2014-03-04 19:49:05,0.02,0.735,0.244,1.0
BA,Boeing,Industrials,Aerospace & Defense,Q4,2013,2014-01-29 13:36:05,0.024,0.73,0.246,1.0
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Q4,2013,2014-02-20 20:27:03,0.041,0.717,0.242,1.0
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,Q4,2013,2014-02-13 14:10:03,0.021,0.762,0.216,1.0
BXP,Boston Properties,Real Estate,Office REITs,Q4,2013,2014-01-29 17:20:05,0.023,0.805,0.171,1.0
BSX,Boston Scientific,Health Care,Health Care Equipment,Q4,2013,2014-02-04 14:48:04,0.03,0.736,0.234,1.0
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,Q4,2013,2014-01-24 14:49:01,0.043,0.726,0.231,1.0
AVGO,Broadcom Inc.,Information Technology,Semiconductors,Q4,2013,2014-01-30 19:16:05,0.033,0.774,0.192,1.0
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,Q4,2013,2013-08-08 12:20:09,0.025,0.747,0.228,1.0
BRO,Brown & Brown,Financials,Insurance Brokers,Q4,2013,2014-02-04 14:00:15,0.027,0.773,0.199,1.0
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,Q4,2013,2013-06-05 14:10:05,0.021,0.753,0.226,1.0
BLDR,Builders FirstSource,Industrials,Building Products,Q4,2013,2014-02-21 14:40:07,0.048,0.767,0.185,0.9999
BG,Bunge Global SA,Consumer Staples,Agricultural Products & Services,Q4,2013,2014-02-13 16:20:06,0.036,0.771,0.193,1.0
CDNS,Cadence Design Systems,Information Technology,Application Software,Q4,2013,2014-01-29 22:59:04,0.017,0.718,0.265,1.0
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,Q4,2013,2014-03-11 22:49:02,0.025,0.759,0.216,1.0
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,Q4,2013,2014-01-31 15:20:08,0.03,0.788,0.182,1.0
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,Q4,2013,2013-08-29 14:30:11,0.03,0.747,0.223,1.0
COF,Capital One,Financials,Consumer Finance,Q4,2013,2014-01-16 20:30:09,0.043,0.734,0.222,1.0
CAH,Cardinal Health,Health Care,Health Care Distributors,Q4,2013,2013-08-01 14:30:05,0.023,0.747,0.231,1.0
KMX,CarMax,Consumer Discretionary,Automotive Retail,Q4,2013,2013-04-10 12:20:04,0.032,0.786,0.181,1.0
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Q4,2013,2013-12-19 14:20:07,0.031,0.787,0.182,1.0
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,Q4,2013,2014-01-27 13:38:07,0.036,0.76,0.204,1.0
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,Q4,2013,2014-02-07 13:20:05,0.019,0.793,0.188,1.0
CBRE,CBRE Group,Real Estate,Real Estate Services,Q4,2013,2014-02-05 00:00:00,0.022,0.748,0.23,1.0
CDW,CDW,Information Technology,Technology Distributors,Q4,2013,2014-02-13 00:00:00,0.031,0.745,0.224,1.0
CE,Celanese,Materials,Specialty Chemicals,Q4,2013,2014-01-24 16:35:02,0.021,0.743,0.236,1.0
COR,Cencora,Health Care,Health Care Distributors,Q4,2013,2014-02-13 17:00:00,0.018,0.774,0.208,1.0
CNC,Centene Corporation,Health Care,Managed Health Care,Q4,2013,2014-02-04 14:20:11,0.024,0.825,0.151,1.0
CNP,CenterPoint Energy,Utilities,Multi-Utilities,Q4,2013,2014-02-26 14:30:11,0.021,0.777,0.202,1.0
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,Q4,2013,2014-02-19 15:30:13,0.038,0.776,0.186,1.0
CHRW,CH Robinson,Industrials,Air Freight & Logistics,Q4,2013,2014-02-05 14:10:06,0.039,0.748,0.213,1.0
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,Q4,2013,2014-02-12 15:34:01,0.03,0.731,0.239,1.0
CHTR,Charter Communications,Communication Services,Cable & Satellite,Q4,2013,2014-01-30 13:30:15,0.033,0.737,0.23,1.0
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,Q4,2013,2014-01-31 17:00:00,0.032,0.763,0.205,1.0
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,Q4,2013,2014-01-30 19:35:02,0.024,0.727,0.249,1.0
CB,Chubb Limited,Financials,Property & Casualty Insurance,Q4,2013,2014-01-29 13:01:11,0.059,0.754,0.187,1.0
CHD,Church & Dwight,Consumer Staples,Household Products,Q4,2013,2014-02-04 23:01:09,0.037,0.698,0.265,1.0
CI,Cigna,Health Care,Health Care Services,Q4,2013,2014-02-07 14:31:03,0.036,0.733,0.231,1.0
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,Q4,2013,2014-02-06 16:50:12,0.058,0.712,0.231,1.0
CTAS,Cintas,Industrials,Diversified Support Services,Q4,2013,2013-07-15 22:30:05,0.041,0.77,0.188,1.0
CSCO,Cisco,Information Technology,Communications Equipment,Q4,2013,2013-08-14 20:06:03,0.028,0.73,0.243,1.0
C,Citigroup,Financials,Diversified Banks,Q4,2013,2014-01-16 16:45:04,0.034,0.741,0.225,1.0
CFG,Citizens Financial Group,Financials,Regional Banks,Q4,2013,2014-01-31 13:30:07,0.029,0.755,0.216,0.9999
CLX,Clorox,Consumer Staples,Household Products,Q4,2013,2013-08-01 18:10:06,0.033,0.747,0.22,1.0
