ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
MMM,3M,Industrials,Industrial Conglomerates,Q2,2020,2020-07-28 13:03:03,0.028,0.712,0.26,1.0
AOS,A. O. Smith,Industrials,Building Products,Q2,2020,2020-07-30 20:44:07,0.037,0.765,0.198,1.0
ABT,Abbott,Health Care,Health Care Equipment,Q2,2020,2020-07-16 00:00:00,0.034,0.74,0.227,1.0
ABBV,AbbVie,Health Care,Biotechnology,Q2,2020,2020-07-31 15:58:07,0.038,0.738,0.224,1.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,Q2,2020,2020-03-19 14:27:08,0.048,0.709,0.243,1.0
ADBE,Adobe Inc.,Information Technology,Application Software,Q2,2020,2020-06-11 23:12:05,0.031,0.704,0.265,1.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Q2,2020,2019-10-23 22:34:07,0.033,0.74,0.228,1.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Q2,2020,2020-08-06 14:10:44,0.037,0.73,0.233,1.0
AFL,Aflac,Financials,Life & Health Insurance,Q2,2020,2020-07-29 14:49:04,0.053,0.738,0.209,1.0
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Q2,2020,2020-05-21 22:37:08,0.051,0.717,0.233,1.0
APD,Air Products and Chemicals,Materials,Industrial Gases,Q2,2020,2020-04-23 00:00:00,0.049,0.736,0.214,1.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Q2,2020,2020-07-28 23:22:07,0.043,0.708,0.249,1.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Q2,2020,2020-08-06 16:14:05,0.049,0.761,0.19,1.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Q2,2020,2020-07-28 00:00:00,0.033,0.733,0.234,1.0
ALGN,Align Technology,Health Care,Health Care Supplies,Q2,2020,2020-07-22 22:36:05,0.03,0.732,0.237,1.0
ALLE,Allegion,Industrials,Building Products,Q2,2020,2020-07-23 13:37:06,0.035,0.725,0.241,1.0
LNT,Alliant Energy,Utilities,Electric Utilities,Q2,2020,2020-08-07 16:01:12,0.025,0.75,0.226,0.9999
ALL,Allstate,Financials,Property & Casualty Insurance,Q2,2020,2020-08-05 12:38:07,0.052,0.728,0.219,1.0
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Q2,2020,2020-07-30 21:03:10,0.007,0.741,0.251,1.0
MO,Altria,Consumer Staples,Tobacco,Q2,2020,2020-07-28 14:27:07,0.025,0.742,0.233,1.0
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Q2,2020,2020-07-30 22:42:04,0.032,0.721,0.247,1.0
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Q2,2020,2020-02-11 22:00:50,0.038,0.741,0.22,1.0
