ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
MMM,3M,Industrials,Industrial Conglomerates,Q1,2024,2024-04-30 00:00:00,0.022,0.724,0.253,1.0
AOS,A. O. Smith,Industrials,Building Products,Q1,2024,2024-04-25 00:00:00,0.029,0.752,0.22,1.0
ABT,Abbott,Health Care,Health Care Equipment,Q1,2024,2024-04-17 12:05:26,0.029,0.71,0.261,1.0
ABBV,AbbVie,Health Care,Biotechnology,Q1,2024,2024-04-26 13:25:32,0.034,0.743,0.223,1.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,Q1,2024,2023-12-19 11:51:05,0.019,0.73,0.251,1.0
ADBE,Adobe Inc.,Information Technology,Application Software,Q1,2024,2024-03-14 21:44:09,0.012,0.738,0.249,1.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Q1,2024,2024-04-30 00:00:00,0.03,0.748,0.222,1.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Q1,2024,2024-05-03 13:25:18,0.026,0.76,0.214,1.0
AFL,Aflac,Financials,Life & Health Insurance,Q1,2024,2024-05-02 00:00:00,0.047,0.728,0.224,1.0
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Q1,2024,2024-02-27 21:36:10,0.019,0.732,0.249,1.0
APD,Air Products and Chemicals,Materials,Industrial Gases,Q1,2024,2024-02-05 12:34:03,0.041,0.71,0.249,1.0
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Q1,2024,2024-05-08 18:48:07,0.024,0.743,0.234,1.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Q1,2024,2024-05-09 19:52:12,0.035,0.728,0.238,1.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Q1,2024,2024-05-02 13:19:09,0.029,0.777,0.194,1.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Q1,2024,2024-04-23 19:45:22,0.034,0.738,0.229,1.0
ALGN,Align Technology,Health Care,Health Care Supplies,Q1,2024,2024-04-24 00:00:00,0.017,0.758,0.225,1.0
ALLE,Allegion,Industrials,Building Products,Q1,2024,2024-04-25 00:00:00,0.027,0.738,0.235,0.9999
LNT,Alliant Energy,Utilities,Electric Utilities,Q1,2024,2024-05-03 00:00:00,0.015,0.699,0.286,1.0
ALL,Allstate,Financials,Property & Casualty Insurance,Q1,2024,2024-05-02 00:00:00,0.044,0.713,0.243,1.0
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,Q1,2024,2024-04-25 00:00:00,0.011,0.754,0.234,1.0
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Q1,2024,2024-04-25 00:00:00,0.011,0.754,0.234,1.0
MO,Altria,Consumer Staples,Tobacco,Q1,2024,2024-04-25 00:00:00,0.041,0.761,0.198,1.0
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Q1,2024,2024-04-30 00:00:00,0.023,0.749,0.228,1.0
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Q1,2024,2023-10-31 23:09:02,0.035,0.747,0.218,1.0
AEE,Ameren,Utilities,Multi-Utilities,Q1,2024,2024-05-03 13:43:09,0.014,0.755,0.231,1.0
AAL,American Airlines Group,Industrials,Passenger Airlines,Q1,2024,2024-04-25 00:00:00,0.029,0.726,0.245,1.0
AEP,American Electric Power,Utilities,Electric Utilities,Q1,2024,2024-04-30 00:00:00,0.019,0.754,0.227,1.0
AXP,American Express,Financials,Consumer Finance,Q1,2024,2024-04-19 11:58:10,0.017,0.723,0.26,1.0
AIG,American International Group,Financials,Multi-line Insurance,Q1,2024,2024-05-02 00:00:00,0.074,0.728,0.198,1.0
AMT,American Tower,Real Estate,Telecom Tower REITs,Q1,2024,2024-04-30 00:00:00,0.024,0.754,0.221,1.0
AWK,American Water Works,Utilities,Water Utilities,Q1,2024,2024-05-02 00:00:00,0.023,0.754,0.223,1.0
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Q1,2024,2024-04-23 13:11:02,0.013,0.687,0.299,1.0
AME,Ametek,Industrials,Electrical Components & Equipment,Q1,2024,2024-05-02 00:00:00,0.022,0.705,0.273,1.0
AMGN,Amgen,Health Care,Biotechnology,Q1,2024,2024-05-02 00:00:00,0.041,0.737,0.223,1.0
APH,Amphenol,Information Technology,Electronic Components,Q1,2024,2024-04-24 00:00:00,0.022,0.72,0.259,1.0
ADI,Analog Devices,Information Technology,Semiconductors,Q1,2024,2024-02-21 13:54:02,0.047,0.712,0.242,1.0
AON,Aon,Financials,Insurance Brokers,Q1,2024,2024-04-26 00:00:00,0.034,0.687,0.279,1.0
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,Q1,2024,2024-05-02 00:00:00,0.04,0.757,0.202,1.0
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Q1,2024,2024-02-01 20:17:02,0.025,0.741,0.234,1.0
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,Q1,2024,2024-02-15 19:55:18,0.018,0.715,0.266,1.0
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,Q1,2024,2024-05-02 00:00:00,0.023,0.757,0.22,1.0
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,Q1,2024,2024-04-30 17:45:27,0.057,0.722,0.221,1.0
ADM,Archer-Daniels-Midland,Consumer Staples,Agricultural Products & Services,Q1,2024,2024-04-30 13:49:10,0.047,0.729,0.224,1.0
ANET,Arista Networks,Information Technology,Communications Equipment,Q1,2024,2024-05-07 00:00:00,0.019,0.8,0.182,1.0
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Q1,2024,2024-04-25 00:00:00,0.036,0.738,0.226,1.0
AIZ,Assurant,Financials,Multi-line Insurance,Q1,2024,2024-05-08 11:36:08,0.037,0.732,0.23,1.0
T,AT&T,Communication Services,Integrated Telecommunication Services,Q1,2024,2024-04-24 12:40:08,0.027,0.738,0.235,1.0
ATO,Atmos Energy,Utilities,Gas Utilities,Q1,2024,2024-02-07 11:29:13,0.029,0.743,0.227,0.9999
ADSK,Autodesk,Information Technology,Application Software,Q1,2024,2023-05-25 20:04:06,0.018,0.735,0.247,1.0
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,Q1,2024,2023-10-25 12:48:03,0.021,0.729,0.25,1.0
AZO,AutoZone,Consumer Discretionary,Automotive Retail,Q1,2024,2023-12-05 12:41:04,0.048,0.715,0.237,1.0
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,Q1,2024,2024-04-26 00:00:00,0.041,0.738,0.22,1.0
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,Q1,2024,2024-04-24 00:00:00,0.023,0.75,0.227,1.0
AXON,Axon Enterprise,Industrials,Aerospace & Defense,Q1,2024,2024-05-06 00:00:00,0.037,0.699,0.263,1.0
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,Q1,2024,2024-04-24 00:00:00,0.016,0.735,0.249,1.0
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",Q1,2024,2024-04-26 00:00:00,0.028,0.728,0.243,1.0
BAC,Bank of America,Financials,Diversified Banks,Q1,2024,2024-04-16 12:40:25,0.028,0.722,0.25,1.0
BK,Bank of New York Mellon,Financials,Asset Management & Custody Banks,Q1,2024,2024-04-16 15:37:03,0.019,0.725,0.256,1.0
