ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
MMM,3M,Industrials,Industrial Conglomerates,Q4,2012,2013-01-24 17:00:00,0.024,0.731,0.246,1.0
AOS,A. O. Smith,Industrials,Building Products,Q4,2012,2013-01-24 15:26:04,0.019,0.758,0.223,1.0
ABT,Abbott,Health Care,Health Care Equipment,Q4,2012,2013-01-23 17:00:00,0.021,0.746,0.233,1.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,Q4,2012,2012-09-27 19:20:04,0.023,0.76,0.217,1.0
ADBE,Adobe Inc.,Information Technology,Application Software,Q4,2012,2012-12-13 22:10:07,0.008,0.78,0.212,1.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Q4,2012,2012-04-25 22:20:06,0.033,0.764,0.203,1.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Q4,2012,2013-02-27 15:10:09,0.023,0.791,0.186,1.0
AFL,Aflac,Financials,Life & Health Insurance,Q4,2012,2013-02-06 10:58:02,0.044,0.723,0.233,1.0
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Q4,2012,2012-11-19 21:50:04,0.04,0.774,0.186,1.0
APD,Air Products and Chemicals,Materials,Industrial Gases,Q4,2012,2012-10-19 14:10:05,0.047,0.767,0.186,1.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Q4,2012,2013-02-06 20:30:07,0.03,0.742,0.228,1.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Q4,2012,2013-01-23 14:45:02,0.039,0.749,0.212,1.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Q4,2012,2013-02-07 22:09:01,0.024,0.762,0.214,1.0
ALGN,Align Technology,Health Care,Health Care Supplies,Q4,2012,2013-01-30 23:15:04,0.03,0.746,0.224,1.0
LNT,Alliant Energy,Utilities,Electric Utilities,Q4,2012,2013-02-14 16:38:02,0.027,0.78,0.193,1.0
ALL,Allstate,Financials,Property & Casualty Insurance,Q4,2012,2013-02-07 15:10:06,0.049,0.752,0.199,1.0
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,Q4,2012,2013-01-23 17:00:00,0.022,0.726,0.252,1.0
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Q4,2012,2013-01-23 17:00:00,0.022,0.726,0.252,1.0
MO,Altria,Consumer Staples,Tobacco,Q4,2012,2013-01-31 13:16:03,0.028,0.747,0.225,1.0
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Q4,2012,2013-01-30 17:00:00,0.023,0.742,0.235,1.0
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Q4,2012,2013-01-31 14:10:12,0.045,0.774,0.181,1.0
AEE,Ameren,Utilities,Multi-Utilities,Q4,2012,2013-02-20 14:50:36,0.033,0.778,0.189,1.0
AAL,American Airlines Group,Industrials,Passenger Airlines,Q4,2012,2013-01-23 17:30:03,0.028,0.766,0.206,1.0
AEP,American Electric Power,Utilities,Electric Utilities,Q4,2012,2013-02-15 14:40:12,0.022,0.758,0.219,1.0
AXP,American Express,Financials,Consumer Finance,Q4,2012,2013-01-17 20:50:03,0.025,0.776,0.199,1.0
AIG,American International Group,Financials,Multi-line Insurance,Q4,2012,2013-02-22 11:14:07,0.069,0.708,0.222,1.0
AMT,American Tower,Real Estate,Telecom Tower REITs,Q4,2012,2013-02-26 13:20:07,0.016,0.791,0.193,1.0
AWK,American Water Works,Utilities,Water Utilities,Q4,2012,2013-02-27 13:10:21,0.017,0.761,0.222,1.0
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Q4,2012,2013-01-31 14:40:07,0.027,0.765,0.208,1.0
AME,Ametek,Industrials,Electrical Components & Equipment,Q4,2012,2013-01-24 13:07:05,0.026,0.724,0.25,1.0
AMGN,Amgen,Health Care,Biotechnology,Q4,2012,2013-01-23 19:07:05,0.021,0.797,0.182,0.9999
APH,Amphenol,Information Technology,Electronic Components,Q4,2012,2013-01-17 17:40:05,0.018,0.754,0.228,1.0
ADI,Analog Devices,Information Technology,Semiconductors,Q4,2012,2012-07-26 21:50:07,0.033,0.784,0.184,1.0
ANSS,Ansys,Information Technology,Application Software,Q4,2012,2013-02-28 14:50:10,0.027,0.758,0.215,1.0
AON,Aon,Financials,Insurance Brokers,Q4,2012,2013-02-01 13:40:07,0.027,0.72,0.253,1.0
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,Q4,2012,2013-02-14 18:03:04,0.033,0.774,0.192,1.0
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Q4,2012,2012-10-25 21:33:03,0.025,0.768,0.207,1.0
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,Q4,2012,2012-11-15 21:00:06,0.031,0.752,0.217,1.0
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,Q4,2012,2013-02-12 17:13:02,0.048,0.765,0.187,1.0
