ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
MMM,3M,Industrials,Industrial Conglomerates,Q2,2013,2013-07-25 12:10:14,0.015,0.726,0.258,1.0
AOS,A. O. Smith,Industrials,Building Products,Q2,2013,2013-07-24 15:01:17,0.019,0.783,0.199,1.0
ABT,Abbott,Health Care,Health Care Equipment,Q2,2013,2013-07-17 17:00:00,0.034,0.736,0.23,1.0
ABBV,AbbVie,Health Care,Biotechnology,Q2,2013,2013-07-26 13:09:02,0.033,0.751,0.216,1.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,Q2,2013,2013-03-28 12:20:06,0.027,0.736,0.236,1.0
ADBE,Adobe Inc.,Information Technology,Application Software,Q2,2013,2013-06-18 21:00:39,0.01,0.774,0.216,1.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Q2,2013,2012-10-17 20:00:02,0.032,0.772,0.196,1.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Q2,2013,2013-08-08 14:30:07,0.03,0.79,0.18,1.0
AFL,Aflac,Financials,Life & Health Insurance,Q2,2013,2013-07-31 12:31:04,0.039,0.762,0.199,1.0
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Q2,2013,2013-05-14 19:52:04,0.04,0.763,0.197,1.0
APD,Air Products and Chemicals,Materials,Industrial Gases,Q2,2013,2013-04-23 14:40:07,0.048,0.761,0.191,1.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Q2,2013,2013-07-24 20:40:10,0.032,0.742,0.227,1.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Q2,2013,2013-07-18 14:50:49,0.04,0.768,0.191,1.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Q2,2013,2013-07-30 21:26:02,0.027,0.72,0.252,1.0
ALGN,Align Technology,Health Care,Health Care Supplies,Q2,2013,2013-07-18 20:50:13,0.03,0.758,0.212,1.0
LNT,Alliant Energy,Utilities,Electric Utilities,Q2,2013,2013-08-02 13:00:04,0.014,0.783,0.202,0.9999
ALL,Allstate,Financials,Property & Casualty Insurance,Q2,2013,2013-08-01 16:40:09,0.047,0.763,0.19,1.0
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Q2,2013,2013-07-19 17:00:00,0.02,0.712,0.269,1.0
MO,Altria,Consumer Staples,Tobacco,Q2,2013,2013-07-23 12:14:05,0.026,0.737,0.238,1.0
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Q2,2013,2013-07-25 20:30:26,0.013,0.724,0.262,1.0
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Q2,2013,2013-07-25 14:10:07,0.032,0.769,0.199,1.0
AEE,Ameren,Utilities,Multi-Utilities,Q2,2013,2013-08-01 16:30:14,0.022,0.813,0.165,1.0
AAL,American Airlines Group,Industrials,Passenger Airlines,Q2,2013,2013-07-24 18:30:07,0.036,0.772,0.193,1.0
AEP,American Electric Power,Utilities,Electric Utilities,Q2,2013,2013-07-25 13:00:04,0.039,0.759,0.202,1.0
