ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
MMM,3M,Industrials,Industrial Conglomerates,Q1,2013,2013-04-25 17:00:00,0.022,0.737,0.241,1.0
AOS,A. O. Smith,Industrials,Building Products,Q1,2013,2013-04-23 13:20:14,0.024,0.768,0.208,1.0
ABT,Abbott,Health Care,Health Care Equipment,Q1,2013,2013-04-17 17:00:00,0.031,0.719,0.25,1.0
ABBV,AbbVie,Health Care,Biotechnology,Q1,2013,2013-04-26 12:00:12,0.04,0.743,0.217,1.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,Q1,2013,2012-12-19 20:20:04,0.029,0.753,0.218,1.0
ADBE,Adobe Inc.,Information Technology,Application Software,Q1,2013,2013-03-19 20:30:04,0.008,0.759,0.233,1.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Q1,2013,2012-07-18 22:30:03,0.027,0.807,0.165,1.0
AFL,Aflac,Financials,Life & Health Insurance,Q1,2013,2013-04-25 12:30:25,0.035,0.771,0.194,1.0
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Q1,2013,2013-02-14 21:40:02,0.037,0.788,0.175,1.0
APD,Air Products and Chemicals,Materials,Industrial Gases,Q1,2013,2013-01-23 13:50:06,0.048,0.766,0.186,1.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Q1,2013,2013-04-24 19:40:03,0.025,0.745,0.231,1.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Q1,2013,2013-04-18 14:30:34,0.051,0.768,0.182,1.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Q1,2013,2013-04-30 19:00:17,0.022,0.724,0.254,1.0
ALGN,Align Technology,Health Care,Health Care Supplies,Q1,2013,2013-04-18 22:10:07,0.028,0.759,0.213,1.0
LNT,Alliant Energy,Utilities,Electric Utilities,Q1,2013,2013-05-03 12:40:05,0.014,0.781,0.204,0.9999
ALL,Allstate,Financials,Property & Casualty Insurance,Q1,2013,2013-05-02 14:50:09,0.048,0.77,0.183,1.0
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Q1,2013,2013-04-18 17:00:00,0.022,0.705,0.272,1.0
MO,Altria,Consumer Staples,Tobacco,Q1,2013,2013-04-25 13:01:45,0.031,0.763,0.207,1.0
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Q1,2013,2013-04-25 17:00:00,0.019,0.717,0.264,1.0
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Q1,2013,2013-04-25 14:10:22,0.03,0.791,0.178,1.0
AEE,Ameren,Utilities,Multi-Utilities,Q1,2013,2013-05-03 06:00:03,0.02,0.791,0.189,1.0
AAL,American Airlines Group,Industrials,Passenger Airlines,Q1,2013,2013-04-23 17:30:07,0.047,0.778,0.175,1.0
AEP,American Electric Power,Utilities,Electric Utilities,Q1,2013,2013-04-26 15:10:10,0.028,0.779,0.193,1.0
AXP,American Express,Financials,Consumer Finance,Q1,2013,2013-04-17 19:05:05,0.04,0.73,0.23,1.0
AIG,American International Group,Financials,Multi-line Insurance,Q1,2013,2013-05-03 11:29:03,0.069,0.723,0.209,1.0
AMT,American Tower,Real Estate,Telecom Tower REITs,Q1,2013,2013-05-01 12:54:12,0.025,0.779,0.196,1.0
AWK,American Water Works,Utilities,Water Utilities,Q1,2013,2013-05-08 13:20:13,0.03,0.785,0.186,1.0
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Q1,2013,2013-04-23 14:31:07,0.03,0.734,0.236,1.0
AME,Ametek,Industrials,Electrical Components & Equipment,Q1,2013,2013-04-25 12:03:22,0.031,0.762,0.207,1.0
AMGN,Amgen,Health Care,Biotechnology,Q1,2013,2013-04-23 19:53:03,0.043,0.783,0.173,0.9999
APH,Amphenol,Information Technology,Electronic Components,Q1,2013,2013-04-18 17:10:04,0.025,0.745,0.229,1.0
ADI,Analog Devices,Information Technology,Semiconductors,Q1,2013,2012-10-25 21:10:06,0.036,0.781,0.183,1.0
ANSS,Ansys,Information Technology,Application Software,Q1,2013,2013-05-02 15:30:11,0.017,0.805,0.178,1.0
AON,Aon,Financials,Insurance Brokers,Q1,2013,2013-04-26 11:50:11,0.037,0.7,0.263,1.0
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,Q1,2013,2013-05-09 13:04:04,0.037,0.748,0.215,1.0
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Q1,2013,2013-01-23 21:04:04,0.019,0.818,0.162,0.9999
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,Q1,2013,2013-02-13 18:38:01,0.019,0.707,0.274,1.0
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,Q1,2013,2013-04-30 17:20:07,0.048,0.786,0.166,1.0
ADM,Archer-Daniels-Midland,Consumer Staples,Agricultural Products & Services,Q1,2013,2013-05-01 00:00:00,0.044,0.768,0.188,1.0
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Q1,2013,2013-05-01 12:10:10,0.03,0.733,0.237,1.0
AIZ,Assurant,Financials,Multi-line Insurance,Q1,2013,2013-04-25 16:00:17,0.036,0.776,0.189,1.0
T,AT&T,Communication Services,Integrated Telecommunication Services,Q1,2013,2013-04-23 17:00:00,0.03,0.692,0.278,1.0
ATO,Atmos Energy,Utilities,Gas Utilities,Q1,2013,2013-02-07 17:00:00,0.032,0.759,0.209,0.9999
ADSK,Autodesk,Information Technology,Application Software,Q1,2013,2012-05-17 22:00:04,0.018,0.79,0.193,1.0
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,Q1,2013,2012-11-01 12:40:06,0.028,0.742,0.231,1.0
AZO,AutoZone,Consumer Discretionary,Automotive Retail,Q1,2013,2012-12-04 14:30:02,0.032,0.752,0.216,1.0
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,Q1,2013,2013-05-01 19:01:05,0.03,0.789,0.181,1.0
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,Q1,2013,2013-04-24 16:10:08,0.035,0.731,0.234,1.0
AXON,Axon Enterprise,Industrials,Aerospace & Defense,Q1,2013,2013-04-25 15:45:04,0.036,0.775,0.189,1.0
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,Q1,2013,2013-04-19 12:00:51,0.043,0.756,0.202,1.0
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",Q1,2013,2013-04-25 16:30:06,0.026,0.799,0.175,1.0
BAC,Bank of America,Financials,Diversified Banks,Q1,2013,2013-04-17 13:04:06,0.035,0.785,0.179,1.0
BK,Bank of New York Mellon,Financials,Asset Management & Custody Banks,Q1,2013,2013-04-17 13:30:08,0.038,0.724,0.237,1.0
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Other Specialty Retail,Q1,2013,2012-05-17 00:00:00,0.016,0.741,0.243,1.0
BAX,Baxter International,Health Care,Health Care Equipment,Q1,2013,2013-04-18 17:00:00,0.023,0.776,0.201,1.0
BDX,Becton Dickinson,Health Care,Health Care Equipment,Q1,2013,2013-02-05 14:40:09,0.029,0.754,0.217,1.0
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,Q1,2013,2012-05-22 13:30:09,0.038,0.732,0.23,1.0
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,Q1,2013,2013-05-07 21:40:07,0.049,0.761,0.189,0.9999
BIIB,Biogen,Health Care,Biotechnology,Q1,2013,2013-04-25 12:20:33,0.019,0.791,0.19,1.0
BLK,BlackRock,Financials,Asset Management & Custody Banks,Q1,2013,2013-04-16 18:30:05,0.026,0.759,0.215,1.0
BX,Blackstone,Financials,Asset Management & Custody Banks,Q1,2013,2013-04-18 17:00:00,0.032,0.744,0.224,1.0
BA,Boeing,Industrials,Aerospace & Defense,Q1,2013,2013-04-24 12:40:09,0.023,0.743,0.235,1.0
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Q1,2013,2013-05-09 19:32:03,0.053,0.703,0.244,1.0
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,Q1,2013,2013-04-25 14:50:33,0.026,0.78,0.194,1.0
BXP,Boston Properties,Real Estate,Office REITs,Q1,2013,2013-05-01 17:50:06,0.03,0.786,0.185,1.0
BSX,Boston Scientific,Health Care,Health Care Equipment,Q1,2013,2013-04-25 14:10:30,0.029,0.762,0.209,1.0
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,Q1,2013,2013-04-25 13:41:06,0.03,0.733,0.237,1.0
AVGO,Broadcom Inc.,Information Technology,Semiconductors,Q1,2013,2013-02-26 21:00:08,0.034,0.791,0.175,1.0
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,Q1,2013,2012-11-06 17:00:00,0.022,0.733,0.245,1.0
BRO,Brown & Brown,Financials,Insurance Brokers,Q1,2013,2013-04-16 13:00:31,0.033,0.772,0.195,1.0
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,Q1,2013,2012-08-29 12:40:05,0.019,0.746,0.235,1.0
BLDR,Builders FirstSource,Industrials,Building Products,Q1,2013,2013-04-26 14:40:11,0.036,0.781,0.182,1.0
BG,Bunge Global SA,Consumer Staples,Agricultural Products & Services,Q1,2013,2013-04-25 13:10:10,0.045,0.761,0.194,0.9999
CDNS,Cadence Design Systems,Information Technology,Application Software,Q1,2013,2013-04-24 20:10:06,0.016,0.759,0.224,1.0
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,Q1,2013,2013-05-01 22:10:06,0.029,0.759,0.212,1.0
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,Q1,2013,2013-05-03 15:10:10,0.04,0.769,0.19,1.0
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,Q1,2013,2012-11-20 13:40:02,0.03,0.767,0.203,1.0
COF,Capital One,Financials,Consumer Finance,Q1,2013,2013-04-18 21:30:08,0.026,0.722,0.253,1.0
CAH,Cardinal Health,Health Care,Health Care Distributors,Q1,2013,2012-10-30 12:50:04,0.02,0.762,0.218,1.0
KMX,CarMax,Consumer Discretionary,Automotive Retail,Q1,2013,2012-06-21 13:10:05,0.027,0.812,0.161,1.0
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Q1,2013,2013-03-16 07:50:05,0.031,0.805,0.164,1.0
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,Q1,2013,2013-04-22 14:17:04,0.046,0.757,0.197,1.0
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,Q1,2013,2013-05-03 17:50:06,0.021,0.776,0.203,1.0
CBRE,CBRE Group,Real Estate,Real Estate Services,Q1,2013,2013-04-25 23:10:07,0.024,0.746,0.229,1.0
CDW,CDW,Information Technology,Technology Distributors,Q1,2013,2013-05-09 00:00:00,0.037,0.721,0.242,0.9999
CE,Celanese,Materials,Specialty Chemicals,Q1,2013,2013-04-19 12:50:18,0.028,0.767,0.205,0.9999
COR,Cencora,Health Care,Health Care Distributors,Q1,2013,2013-04-24 17:00:00,0.03,0.78,0.19,1.0
CNC,Centene Corporation,Health Care,Managed Health Care,Q1,2013,2013-04-23 14:40:04,0.023,0.808,0.169,1.0
CNP,CenterPoint Energy,Utilities,Multi-Utilities,Q1,2013,2013-05-02 13:50:07,0.023,0.774,0.202,0.9999
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,Q1,2013,2013-05-09 14:10:10,0.037,0.779,0.184,1.0
CHRW,CH Robinson,Industrials,Air Freight & Logistics,Q1,2013,2013-05-07 22:01:15,0.034,0.769,0.197,1.0
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,Q1,2013,2013-05-02 19:10:04,0.028,0.767,0.205,1.0
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,Q1,2013,2013-04-25 16:10:21,0.036,0.776,0.188,1.0
CHTR,Charter Communications,Communication Services,Cable & Satellite,Q1,2013,2013-04-25 12:20:29,0.026,0.772,0.202,1.0
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,Q1,2013,2013-04-26 17:00:00,0.026,0.738,0.236,1.0
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,Q1,2013,2013-04-18 20:25:04,0.025,0.726,0.25,1.0
CB,Chubb Limited,Financials,Property & Casualty Insurance,Q1,2013,2013-04-23 12:30:09,0.056,0.767,0.177,1.0
CHD,Church & Dwight,Consumer Staples,Household Products,Q1,2013,2013-05-02 16:01:37,0.038,0.71,0.252,1.0
CI,Cigna,Health Care,Health Care Services,Q1,2013,2013-05-02 15:20:09,0.027,0.739,0.234,1.0
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,Q1,2013,2013-04-26 13:49:01,0.079,0.703,0.218,0.9999
