ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
MMM,3M,Industrials,Industrial Conglomerates,Q1,2020,2020-04-28 15:08:08,0.048,0.698,0.255,1.0
AOS,A. O. Smith,Industrials,Building Products,Q1,2020,2020-05-05 18:34:14,0.063,0.734,0.203,1.0
ABT,Abbott,Health Care,Health Care Equipment,Q1,2020,2020-04-16 00:00:00,0.026,0.766,0.207,1.0
ABBV,AbbVie,Health Care,Biotechnology,Q1,2020,2020-05-01 15:26:49,0.054,0.743,0.203,1.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,Q1,2020,2019-12-19 12:41:35,0.018,0.715,0.267,1.0
ADBE,Adobe Inc.,Information Technology,Application Software,Q1,2020,2020-03-12 23:38:34,0.025,0.712,0.263,1.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Q1,2020,2019-07-24 23:44:06,0.031,0.791,0.178,1.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Q1,2020,2020-05-07 15:01:19,0.046,0.771,0.183,0.9999
AFL,Aflac,Financials,Life & Health Insurance,Q1,2020,2020-04-30 16:40:37,0.083,0.74,0.177,1.0
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Q1,2020,2020-02-18 22:17:06,0.034,0.727,0.239,1.0
APD,Air Products and Chemicals,Materials,Industrial Gases,Q1,2020,2020-01-24 15:39:03,0.023,0.679,0.299,1.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Q1,2020,2020-04-28 22:29:05,0.054,0.701,0.245,1.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Q1,2020,2020-05-07 13:46:11,0.056,0.762,0.183,1.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Q1,2020,2020-04-29 17:00:00,0.031,0.753,0.215,1.0
ALGN,Align Technology,Health Care,Health Care Supplies,Q1,2020,2020-04-29 22:05:30,0.031,0.757,0.213,1.0
ALLE,Allegion,Industrials,Building Products,Q1,2020,2020-04-23 14:14:06,0.033,0.725,0.242,1.0
LNT,Alliant Energy,Utilities,Electric Utilities,Q1,2020,2020-05-08 21:52:35,0.046,0.725,0.229,0.9999
ALL,Allstate,Financials,Property & Casualty Insurance,Q1,2020,2020-05-06 14:36:27,0.06,0.735,0.204,1.0
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Q1,2020,2020-04-28 23:46:48,0.022,0.686,0.291,1.0
MO,Altria,Consumer Staples,Tobacco,Q1,2020,2020-04-30 16:52:06,0.038,0.749,0.213,1.0
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Q1,2020,2020-04-30 22:46:14,0.048,0.753,0.199,0.9999
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Q1,2020,2019-11-10 23:11:33,0.041,0.747,0.212,1.0
