ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
MMM,3M,Industrials,Industrial Conglomerates,Q2,2011,2011-07-26 17:00:00,0.041,0.739,0.22,1.0
ABT,Abbott,Health Care,Health Care Equipment,Q2,2011,2011-07-20 17:00:00,0.028,0.739,0.233,1.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,Q2,2011,2011-03-24 20:40:16,0.028,0.732,0.24,1.0
ADBE,Adobe Inc.,Information Technology,Application Software,Q2,2011,2011-06-22 01:30:18,0.012,0.785,0.203,1.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Q2,2011,2011-08-05 14:20:45,0.042,0.776,0.182,0.9999
AFL,Aflac,Financials,Life & Health Insurance,Q2,2011,2011-07-28 17:50:07,0.049,0.753,0.199,1.0
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Q2,2011,2011-05-13 14:40:14,0.017,0.773,0.211,1.0
APD,Air Products and Chemicals,Materials,Industrial Gases,Q2,2011,2011-04-21 14:40:22,0.024,0.746,0.231,1.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Q2,2011,2011-07-27 22:10:10,0.031,0.764,0.205,1.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Q2,2011,2011-07-22 16:52:54,0.039,0.75,0.211,1.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Q2,2011,2011-07-28 22:34:38,0.037,0.746,0.217,1.0
LNT,Alliant Energy,Utilities,Electric Utilities,Q2,2011,2011-08-04 15:36:19,0.015,0.788,0.197,1.0
ALL,Allstate,Financials,Property & Casualty Insurance,Q2,2011,2011-08-01 14:50:31,0.05,0.732,0.218,1.0
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Q2,2011,2011-07-15 17:00:00,0.013,0.733,0.255,1.0
MO,Altria,Consumer Staples,Tobacco,Q2,2011,2011-07-20 12:10:06,0.027,0.771,0.203,1.0
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Q2,2011,2011-07-27 17:00:00,0.022,0.75,0.228,1.0
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Q2,2011,2011-07-27 16:10:11,0.04,0.777,0.183,0.9998
AEE,Ameren,Utilities,Multi-Utilities,Q2,2011,2011-08-04 15:48:26,0.03,0.781,0.189,1.0
AAL,American Airlines Group,Industrials,Passenger Airlines,Q2,2011,2011-07-20 21:00:00,0.036,0.755,0.208,1.0
AEP,American Electric Power,Utilities,Electric Utilities,Q2,2011,2011-07-29 17:40:08,0.032,0.77,0.198,1.0
