ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
MMM,3M,Industrials,Industrial Conglomerates,Q1,2018,2018-04-24 14:02:04,0.028,0.717,0.255,1.0
AOS,A. O. Smith,Industrials,Building Products,Q1,2018,2018-04-25 13:56:07,0.022,0.782,0.196,1.0
ABT,Abbott,Health Care,Health Care Equipment,Q1,2018,2018-04-18 00:00:00,0.034,0.704,0.261,1.0
ABBV,AbbVie,Health Care,Biotechnology,Q1,2018,2018-04-26 14:03:17,0.025,0.751,0.224,1.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,Q1,2018,2017-12-21 12:31:11,0.015,0.692,0.293,1.0
ADBE,Adobe Inc.,Information Technology,Application Software,Q1,2018,2018-03-15 22:04:09,0.01,0.728,0.262,1.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Q1,2018,2017-07-26 23:01:28,0.019,0.779,0.202,1.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Q1,2018,2018-05-08 13:44:07,0.029,0.76,0.211,1.0
AFL,Aflac,Financials,Life & Health Insurance,Q1,2018,2018-04-26 15:43:09,0.043,0.773,0.184,1.0
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Q1,2018,2018-02-14 22:21:05,0.016,0.735,0.249,1.0
APD,Air Products and Chemicals,Materials,Industrial Gases,Q1,2018,2018-01-26 14:34:28,0.023,0.729,0.248,1.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Q1,2018,2018-04-30 21:30:46,0.021,0.721,0.257,1.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Q1,2018,2018-05-10 13:17:14,0.019,0.787,0.194,1.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Q1,2018,2018-05-02 17:00:00,0.018,0.728,0.254,1.0
ALGN,Align Technology,Health Care,Health Care Supplies,Q1,2018,2018-04-25 22:30:48,0.019,0.772,0.209,1.0
ALLE,Allegion,Industrials,Building Products,Q1,2018,2018-04-26 11:30:52,0.023,0.734,0.243,1.0
LNT,Alliant Energy,Utilities,Electric Utilities,Q1,2018,2018-05-06 10:00:04,0.018,0.765,0.217,0.9998
ALL,Allstate,Financials,Property & Casualty Insurance,Q1,2018,2018-05-02 14:45:23,0.054,0.721,0.225,1.0
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Q1,2018,2018-04-24 17:00:00,0.012,0.735,0.253,1.0
MO,Altria,Consumer Staples,Tobacco,Q1,2018,2018-04-26 13:43:20,0.014,0.774,0.211,1.0
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Q1,2018,2018-04-26 20:45:59,0.021,0.741,0.238,1.0
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Q1,2018,2018-04-26 13:47:16,0.024,0.773,0.203,1.0
AEE,Ameren,Utilities,Multi-Utilities,Q1,2018,2018-05-09 15:36:11,0.01,0.797,0.193,1.0
AAL,American Airlines Group,Industrials,Passenger Airlines,Q1,2018,2018-04-26 17:49:13,0.028,0.747,0.225,1.0
AEP,American Electric Power,Utilities,Electric Utilities,Q1,2018,2018-04-26 13:29:05,0.022,0.76,0.218,1.0
AXP,American Express,Financials,Consumer Finance,Q1,2018,2018-04-18 21:32:08,0.018,0.728,0.254,1.0
AIG,American International Group,Financials,Multi-line Insurance,Q1,2018,2018-05-03 13:53:14,0.065,0.713,0.222,1.0
AMT,American Tower,Real Estate,Telecom Tower REITs,Q1,2018,2018-05-01 12:57:10,0.021,0.793,0.186,1.0
AWK,American Water Works,Utilities,Water Utilities,Q1,2018,2018-05-03 15:13:03,0.024,0.723,0.253,1.0
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Q1,2018,2018-04-24 15:54:05,0.022,0.676,0.303,1.0
AME,Ametek,Industrials,Electrical Components & Equipment,Q1,2018,2018-05-02 13:03:05,0.011,0.733,0.256,1.0
AMGN,Amgen,Health Care,Biotechnology,Q1,2018,2018-04-25 00:44:06,0.046,0.738,0.217,1.0
APH,Amphenol,Information Technology,Electronic Components,Q1,2018,2018-04-25 20:39:12,0.013,0.732,0.255,1.0
ADI,Analog Devices,Information Technology,Semiconductors,Q1,2018,2018-02-28 00:00:00,0.022,0.759,0.219,1.0
ANSS,Ansys,Information Technology,Application Software,Q1,2018,2018-05-03 13:24:17,0.015,0.762,0.223,1.0
AON,Aon,Financials,Insurance Brokers,Q1,2018,2018-05-04 11:49:24,0.022,0.705,0.273,1.0
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,Q1,2018,2018-05-03 15:17:16,0.014,0.77,0.216,1.0
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Q1,2018,2018-02-01 20:58:03,0.023,0.772,0.206,1.0
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,Q1,2018,2018-02-14 21:15:04,0.02,0.719,0.261,1.0
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,Q1,2018,2018-05-02 14:39:10,0.009,0.713,0.278,1.0
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,Q1,2018,2018-05-02 19:18:06,0.069,0.744,0.187,1.0
ADM,Archer-Daniels-Midland,Consumer Staples,Agricultural Products & Services,Q1,2018,2018-05-01 14:43:11,0.035,0.728,0.238,1.0
ANET,Arista Networks,Information Technology,Communications Equipment,Q1,2018,2018-05-03 23:27:14,0.032,0.758,0.21,1.0
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Q1,2018,2018-05-01 23:35:07,0.035,0.734,0.232,1.0
AIZ,Assurant,Financials,Multi-line Insurance,Q1,2018,2018-05-06 00:56:06,0.042,0.752,0.206,1.0
T,AT&T,Communication Services,Integrated Telecommunication Services,Q1,2018,2018-04-25 22:47:10,0.025,0.761,0.214,1.0
ATO,Atmos Energy,Utilities,Gas Utilities,Q1,2018,2018-02-07 13:58:05,0.033,0.728,0.238,0.9999
ADSK,Autodesk,Information Technology,Application Software,Q1,2018,2017-05-18 00:00:00,0.01,0.785,0.204,1.0
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,Q1,2018,2017-11-02 15:31:20,0.023,0.739,0.238,1.0
AZO,AutoZone,Consumer Discretionary,Automotive Retail,Q1,2018,2017-12-05 20:45:03,0.042,0.733,0.225,1.0
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,Q1,2018,2018-04-26 19:13:12,0.031,0.767,0.202,1.0
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,Q1,2018,2018-04-25 17:01:16,0.014,0.756,0.229,1.0
AXON,Axon Enterprise,Industrials,Aerospace & Defense,Q1,2018,2018-05-09 00:00:00,0.029,0.722,0.249,1.0
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,Q1,2018,2018-04-20 15:13:06,0.028,0.754,0.218,1.0
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",Q1,2018,2018-05-03 16:33:10,0.017,0.75,0.232,1.0
BAC,Bank of America,Financials,Diversified Banks,Q1,2018,2018-04-16 18:18:07,0.032,0.723,0.246,1.0
BK,Bank of New York Mellon,Financials,Asset Management & Custody Banks,Q1,2018,2018-04-19 17:00:00,0.029,0.719,0.253,1.0
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Other Specialty Retail,Q1,2018,2017-05-18 00:00:00,0.027,0.707,0.265,1.0
BAX,Baxter International,Health Care,Health Care Equipment,Q1,2018,2018-04-26 17:00:00,0.031,0.719,0.25,1.0
BDX,Becton Dickinson,Health Care,Health Care Equipment,Q1,2018,2018-02-06 21:31:06,0.026,0.771,0.203,1.0
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,Q1,2018,2017-05-25 23:52:04,0.037,0.713,0.249,1.0
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,Q1,2018,2018-05-08 22:57:17,0.038,0.736,0.226,0.9999
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,Q1,2018,2017-10-31 13:25:36,0.021,0.742,0.237,1.0
BIIB,Biogen,Health Care,Biotechnology,Q1,2018,2018-04-24 15:11:05,0.024,0.755,0.221,1.0
BLK,BlackRock,Financials,Asset Management & Custody Banks,Q1,2018,2018-04-12 12:27:06,0.042,0.731,0.226,1.0
BX,Blackstone,Financials,Asset Management & Custody Banks,Q1,2018,2018-04-19 17:00:00,0.033,0.744,0.223,1.0
BA,Boeing,Industrials,Aerospace & Defense,Q1,2018,2018-04-25 15:07:14,0.019,0.736,0.246,1.0
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Q1,2018,2018-05-09 21:41:07,0.023,0.728,0.249,1.0
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,Q1,2018,2018-04-26 19:13:10,0.014,0.754,0.233,1.0
BXP,Boston Properties,Real Estate,Office REITs,Q1,2018,2018-04-25 16:46:06,0.025,0.789,0.186,1.0
BSX,Boston Scientific,Health Care,Health Care Equipment,Q1,2018,2018-04-25 12:39:09,0.032,0.75,0.219,1.0
