ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
MMM,3M,Industrials,Industrial Conglomerates,Q1,2016,2016-04-26 14:05:10,0.021,0.705,0.274,1.0
AOS,A. O. Smith,Industrials,Building Products,Q1,2016,2016-04-27 16:03:20,0.019,0.796,0.185,1.0
ABT,Abbott,Health Care,Health Care Equipment,Q1,2016,2016-04-20 17:00:00,0.025,0.709,0.267,1.0
ABBV,AbbVie,Health Care,Biotechnology,Q1,2016,2016-04-29 01:35:18,0.054,0.719,0.227,1.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,Q1,2016,2015-12-17 13:04:23,0.019,0.741,0.24,1.0
ADBE,Adobe Inc.,Information Technology,Application Software,Q1,2016,2016-03-17 20:02:10,0.012,0.728,0.26,1.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Q1,2016,2015-07-22 20:14:09,0.031,0.729,0.24,1.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Q1,2016,2016-05-09 14:08:21,0.041,0.769,0.19,1.0
AFL,Aflac,Financials,Life & Health Insurance,Q1,2016,2016-04-27 23:26:14,0.04,0.751,0.209,1.0
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Q1,2016,2016-02-16 22:43:09,0.03,0.745,0.225,1.0
APD,Air Products and Chemicals,Materials,Industrial Gases,Q1,2016,2016-01-29 16:59:04,0.051,0.702,0.248,1.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Q1,2016,2016-04-26 21:45:13,0.026,0.739,0.235,1.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Q1,2016,2016-05-11 13:43:34,0.029,0.764,0.207,1.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Q1,2016,2016-05-04 17:00:00,0.027,0.759,0.215,1.0
ALGN,Align Technology,Health Care,Health Care Supplies,Q1,2016,2016-04-28 23:33:48,0.028,0.79,0.182,1.0
ALLE,Allegion,Industrials,Building Products,Q1,2016,2016-04-28 16:39:21,0.02,0.738,0.243,1.0
LNT,Alliant Energy,Utilities,Electric Utilities,Q1,2016,2016-05-05 15:29:35,0.023,0.782,0.195,0.9999
ALL,Allstate,Financials,Property & Casualty Insurance,Q1,2016,2016-05-05 17:43:24,0.054,0.742,0.204,1.0
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Q1,2016,2016-04-22 17:00:00,0.018,0.72,0.263,1.0
MO,Altria,Consumer Staples,Tobacco,Q1,2016,2016-04-29 01:35:21,0.014,0.755,0.231,1.0
