ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
MMM,3M,Industrials,Industrial Conglomerates,Q1,2022,2022-04-26 10:56:02,0.037,0.737,0.226,1.0
AOS,A. O. Smith,Industrials,Building Products,Q1,2022,2022-04-28 14:12:10,0.027,0.734,0.239,1.0
ABT,Abbott,Health Care,Health Care Equipment,Q1,2022,2022-04-20 00:00:00,0.04,0.731,0.229,1.0
ABBV,AbbVie,Health Care,Biotechnology,Q1,2022,2022-04-29 11:20:02,0.041,0.725,0.234,1.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,Q1,2022,2021-12-16 12:44:05,0.027,0.72,0.253,1.0
ADBE,Adobe Inc.,Information Technology,Application Software,Q1,2022,2022-03-22 21:59:05,0.017,0.714,0.268,1.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Q1,2022,2022-05-03 21:40:24,0.015,0.72,0.265,1.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Q1,2022,2022-05-06 15:40:23,0.043,0.764,0.193,1.0
AFL,Aflac,Financials,Life & Health Insurance,Q1,2022,2022-04-28 14:16:08,0.042,0.759,0.199,1.0
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Q1,2022,2022-02-22 21:24:02,0.018,0.695,0.287,1.0
APD,Air Products and Chemicals,Materials,Industrial Gases,Q1,2022,2022-02-04 11:25:17,0.036,0.705,0.259,1.0
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Q1,2022,2022-05-03 23:03:07,0.035,0.723,0.242,1.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Q1,2022,2022-05-03 21:21:02,0.041,0.726,0.233,1.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Q1,2022,2022-05-05 13:52:16,0.028,0.782,0.19,1.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Q1,2022,2022-04-26 19:38:06,0.039,0.719,0.242,1.0
ALGN,Align Technology,Health Care,Health Care Supplies,Q1,2022,2022-04-27 18:33:16,0.04,0.747,0.213,1.0
ALLE,Allegion,Industrials,Building Products,Q1,2022,2022-04-26 11:08:12,0.038,0.711,0.252,1.0
LNT,Alliant Energy,Utilities,Electric Utilities,Q1,2022,2022-04-29 14:07:05,0.022,0.736,0.242,1.0
ALL,Allstate,Financials,Property & Casualty Insurance,Q1,2022,2022-05-05 11:52:12,0.048,0.743,0.209,1.0
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,Q1,2022,2022-04-26 00:00:00,0.028,0.731,0.241,1.0
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Q1,2022,2022-04-26 21:59:06,0.028,0.728,0.244,1.0
MO,Altria,Consumer Staples,Tobacco,Q1,2022,2022-04-28 11:34:10,0.036,0.753,0.211,1.0
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Q1,2022,2022-04-28 20:27:05,0.045,0.793,0.162,0.9999
AEE,Ameren,Utilities,Multi-Utilities,Q1,2022,2022-05-06 15:42:06,0.01,0.729,0.26,1.0
AAL,American Airlines Group,Industrials,Passenger Airlines,Q1,2022,2022-04-21 15:51:05,0.046,0.746,0.209,1.0
AEP,American Electric Power,Utilities,Electric Utilities,Q1,2022,2022-04-28 14:08:02,0.019,0.757,0.225,1.0
AXP,American Express,Financials,Consumer Finance,Q1,2022,2022-04-22 10:21:04,0.022,0.739,0.239,1.0
AIG,American International Group,Financials,Multi-line Insurance,Q1,2022,2022-05-04 00:00:00,0.065,0.74,0.195,1.0
AMT,American Tower,Real Estate,Telecom Tower REITs,Q1,2022,2022-04-27 11:28:10,0.025,0.747,0.228,1.0
AWK,American Water Works,Utilities,Water Utilities,Q1,2022,2022-04-28 12:31:12,0.015,0.762,0.224,0.9999
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Q1,2022,2022-04-26 14:11:12,0.029,0.695,0.276,1.0
AME,Ametek,Industrials,Electrical Components & Equipment,Q1,2022,2022-05-03 12:25:05,0.037,0.709,0.254,1.0
AMGN,Amgen,Health Care,Biotechnology,Q1,2022,2022-04-27 20:27:03,0.042,0.752,0.206,1.0
APH,Amphenol,Information Technology,Electronic Components,Q1,2022,2022-04-27 17:21:03,0.04,0.712,0.248,1.0
ADI,Analog Devices,Information Technology,Semiconductors,Q1,2022,2022-02-16 13:45:03,0.024,0.715,0.261,1.0
ANSS,Ansys,Information Technology,Application Software,Q1,2022,2022-05-05 16:03:05,0.017,0.732,0.251,1.0
AON,Aon,Financials,Insurance Brokers,Q1,2022,2022-04-29 11:17:17,0.034,0.673,0.293,1.0
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,Q1,2022,2022-05-05 15:52:12,0.046,0.741,0.213,1.0
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Q1,2022,2022-01-27 20:19:05,0.033,0.737,0.23,1.0
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,Q1,2022,2022-02-16 18:35:02,0.032,0.721,0.246,1.0
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,Q1,2022,2022-05-05 16:01:07,0.037,0.762,0.201,1.0
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,Q1,2022,2022-04-28 22:39:09,0.051,0.713,0.235,1.0
ADM,Archer-Daniels-Midland,Consumer Staples,Agricultural Products & Services,Q1,2022,2022-04-26 13:10:27,0.054,0.703,0.242,1.0
ANET,Arista Networks,Information Technology,Communications Equipment,Q1,2022,2022-05-02 19:59:05,0.042,0.759,0.198,1.0
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Q1,2022,2022-04-28 23:56:05,0.038,0.718,0.244,1.0
AIZ,Assurant,Financials,Multi-line Insurance,Q1,2022,2022-05-04 11:42:16,0.025,0.717,0.258,1.0
T,AT&T,Communication Services,Integrated Telecommunication Services,Q1,2022,2022-04-21 10:35:21,0.028,0.743,0.229,1.0
ATO,Atmos Energy,Utilities,Gas Utilities,Q1,2022,2022-02-09 14:30:21,0.02,0.76,0.22,1.0
