ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
MMM,3M,Industrials,Industrial Conglomerates,Q3,2013,2013-10-24 17:00:00,0.022,0.71,0.268,1.0
AOS,A. O. Smith,Industrials,Building Products,Q3,2013,2013-10-21 14:40:05,0.022,0.765,0.213,1.0
ABT,Abbott,Health Care,Health Care Equipment,Q3,2013,2013-10-16 17:00:00,0.037,0.711,0.252,1.0
ABBV,AbbVie,Health Care,Biotechnology,Q3,2013,2013-10-25 12:29:01,0.03,0.738,0.233,1.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,Q3,2013,2013-06-27 20:00:42,0.028,0.753,0.218,1.0
ADBE,Adobe Inc.,Information Technology,Application Software,Q3,2013,2013-09-17 20:40:07,0.012,0.784,0.204,1.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Q3,2013,2013-01-17 21:00:06,0.024,0.773,0.203,1.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Q3,2013,2013-11-07 14:50:07,0.031,0.792,0.177,1.0
AFL,Aflac,Financials,Life & Health Insurance,Q3,2013,2013-10-30 11:57:02,0.029,0.755,0.216,1.0
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Q3,2013,2013-08-14 19:47:04,0.035,0.75,0.215,1.0
APD,Air Products and Chemicals,Materials,Industrial Gases,Q3,2013,2013-07-23 14:50:12,0.044,0.764,0.192,1.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Q3,2013,2013-10-23 20:40:08,0.017,0.771,0.212,1.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Q3,2013,2013-10-17 13:40:06,0.037,0.78,0.183,1.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Q3,2013,2013-10-29 22:02:02,0.023,0.748,0.229,1.0
ALGN,Align Technology,Health Care,Health Care Supplies,Q3,2013,2013-10-17 19:50:07,0.029,0.778,0.193,1.0
LNT,Alliant Energy,Utilities,Electric Utilities,Q3,2013,2013-11-07 16:20:02,0.013,0.81,0.177,0.9999
ALL,Allstate,Financials,Property & Casualty Insurance,Q3,2013,2013-10-31 18:40:05,0.044,0.762,0.194,1.0
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Q3,2013,2013-10-18 17:00:00,0.015,0.723,0.262,1.0
MO,Altria,Consumer Staples,Tobacco,Q3,2013,2013-10-24 11:33:10,0.017,0.76,0.223,1.0
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Q3,2013,2013-07-31 19:14:02,0.032,0.751,0.218,1.0
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Q3,2013,2013-10-24 14:00:07,0.044,0.777,0.179,1.0
AEE,Ameren,Utilities,Multi-Utilities,Q3,2013,2013-11-07 18:01:49,0.022,0.796,0.181,1.0
AAL,American Airlines Group,Industrials,Passenger Airlines,Q3,2013,2013-10-23 17:20:03,0.032,0.77,0.198,1.0
AEP,American Electric Power,Utilities,Electric Utilities,Q3,2013,2013-10-23 13:40:11,0.028,0.769,0.203,1.0
AXP,American Express,Financials,Consumer Finance,Q3,2013,2013-10-16 19:12:05,0.02,0.719,0.261,1.0
AIG,American International Group,Financials,Multi-line Insurance,Q3,2013,2013-11-01 11:05:03,0.066,0.723,0.21,1.0
AMT,American Tower,Real Estate,Telecom Tower REITs,Q3,2013,2013-10-30 14:28:06,0.025,0.802,0.173,1.0
AWK,American Water Works,Utilities,Water Utilities,Q3,2013,2013-11-07 18:01:49,0.026,0.778,0.196,1.0
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Q3,2013,2013-10-30 12:40:08,0.026,0.685,0.29,1.0
AME,Ametek,Industrials,Electrical Components & Equipment,Q3,2013,2013-10-29 12:30:08,0.02,0.75,0.23,1.0
AMGN,Amgen,Health Care,Biotechnology,Q3,2013,2013-10-22 21:14:01,0.028,0.748,0.224,1.0
APH,Amphenol,Information Technology,Electronic Components,Q3,2013,2013-10-17 16:20:15,0.026,0.755,0.22,1.0
ADI,Analog Devices,Information Technology,Semiconductors,Q3,2013,2013-04-25 20:50:12,0.032,0.751,0.217,1.0
ANSS,Ansys,Information Technology,Application Software,Q3,2013,2013-11-07 15:30:15,0.026,0.784,0.19,1.0
AON,Aon,Financials,Insurance Brokers,Q3,2013,2013-10-25 12:20:07,0.024,0.709,0.267,1.0
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,Q3,2013,2013-11-07 16:31:05,0.018,0.754,0.228,1.0
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Q3,2013,2013-07-23 19:38:02,0.02,0.768,0.212,1.0
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,Q3,2013,2013-08-15 19:23:05,0.025,0.695,0.281,1.0
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,Q3,2013,2013-10-29 17:30:19,0.039,0.802,0.159,1.0
ADM,Archer-Daniels-Midland,Consumer Staples,Agricultural Products & Services,Q3,2013,2013-10-29 13:10:06,0.034,0.768,0.198,1.0
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Q3,2013,2013-10-30 15:10:04,0.031,0.77,0.199,1.0
AIZ,Assurant,Financials,Multi-line Insurance,Q3,2013,2013-10-24 16:40:05,0.038,0.752,0.21,1.0
T,AT&T,Communication Services,Integrated Telecommunication Services,Q3,2013,2013-10-23 19:13:06,0.022,0.719,0.259,1.0
ATO,Atmos Energy,Utilities,Gas Utilities,Q3,2013,2013-08-07 10:40:12,0.012,0.772,0.216,0.9999
ADSK,Autodesk,Information Technology,Application Software,Q3,2013,2012-11-15 21:30:06,0.029,0.762,0.209,1.0
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,Q3,2013,2013-05-03 14:20:09,0.028,0.744,0.228,1.0
AZO,AutoZone,Consumer Discretionary,Automotive Retail,Q3,2013,2013-05-21 15:10:07,0.031,0.762,0.207,1.0
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,Q3,2013,2013-10-24 20:20:18,0.027,0.809,0.164,1.0
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,Q3,2013,2013-10-25 16:20:04,0.032,0.769,0.198,1.0
AXON,Axon Enterprise,Industrials,Aerospace & Defense,Q3,2013,2013-10-30 17:56:05,0.041,0.773,0.186,1.0
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,Q3,2013,2013-10-18 12:00:06,0.033,0.752,0.215,1.0
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",Q3,2013,2013-10-24 13:30:06,0.022,0.781,0.197,1.0
BAC,Bank of America,Financials,Diversified Banks,Q3,2013,2013-10-16 12:51:02,0.034,0.763,0.203,1.0
BK,Bank of New York Mellon,Financials,Asset Management & Custody Banks,Q3,2013,2013-10-16 12:50:08,0.034,0.725,0.241,1.0
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Other Specialty Retail,Q3,2013,2012-11-15 00:00:00,0.016,0.737,0.248,1.0
BAX,Baxter International,Health Care,Health Care Equipment,Q3,2013,2013-10-17 17:00:00,0.032,0.775,0.193,1.0
BDX,Becton Dickinson,Health Care,Health Care Equipment,Q3,2013,2013-08-01 12:30:05,0.023,0.778,0.199,1.0
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,Q3,2013,2012-11-20 13:00:25,0.037,0.736,0.227,1.0
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,Q3,2013,2013-11-07 19:40:04,0.036,0.774,0.19,0.9999
BIIB,Biogen,Health Care,Biotechnology,Q3,2013,2013-10-28 12:50:04,0.015,0.796,0.19,1.0
BLK,BlackRock,Financials,Asset Management & Custody Banks,Q3,2013,2013-10-16 12:20:07,0.03,0.766,0.204,1.0
