ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
MMM,3M,Industrials,Industrial Conglomerates,Q3,2015,2015-10-22 13:03:07,0.016,0.762,0.222,1.0
AOS,A. O. Smith,Industrials,Building Products,Q3,2015,2015-10-21 15:47:05,0.016,0.762,0.222,1.0
ABT,Abbott,Health Care,Health Care Equipment,Q3,2015,2015-10-21 17:00:00,0.04,0.711,0.249,1.0
ABBV,AbbVie,Health Care,Biotechnology,Q3,2015,2015-10-30 19:37:08,0.028,0.743,0.229,1.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,Q3,2015,2015-06-25 13:13:04,0.016,0.726,0.258,1.0
ADBE,Adobe Inc.,Information Technology,Application Software,Q3,2015,2015-09-18 00:21:03,0.012,0.732,0.256,1.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Q3,2015,2015-01-22 18:58:04,0.046,0.772,0.182,0.9999
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Q3,2015,2015-11-06 02:26:08,0.043,0.741,0.217,1.0
AFL,Aflac,Financials,Life & Health Insurance,Q3,2015,2015-10-28 15:23:05,0.038,0.76,0.202,1.0
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Q3,2015,2015-08-17 20:45:08,0.027,0.732,0.241,1.0
APD,Air Products and Chemicals,Materials,Industrial Gases,Q3,2015,2015-07-30 20:07:02,0.027,0.716,0.256,1.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Q3,2015,2015-10-27 23:11:04,0.028,0.751,0.221,1.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Q3,2015,2015-11-05 16:47:06,0.036,0.765,0.199,1.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Q3,2015,2015-11-04 17:00:00,0.023,0.763,0.214,1.0
ALGN,Align Technology,Health Care,Health Care Supplies,Q3,2015,2015-10-22 19:43:02,0.037,0.769,0.193,1.0
ALLE,Allegion,Industrials,Building Products,Q3,2015,2015-10-29 14:03:08,0.022,0.744,0.234,1.0
