ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
MMM,3M,Industrials,Industrial Conglomerates,Q3,2020,2020-10-27 15:54:06,0.042,0.722,0.237,1.0
AOS,A. O. Smith,Industrials,Building Products,Q3,2020,2020-10-29 16:43:08,0.035,0.75,0.215,1.0
ABT,Abbott,Health Care,Health Care Equipment,Q3,2020,2020-10-21 00:00:00,0.019,0.729,0.252,1.0
ABBV,AbbVie,Health Care,Biotechnology,Q3,2020,2020-10-30 16:17:13,0.038,0.708,0.254,1.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,Q3,2020,2020-06-25 13:05:48,0.035,0.727,0.238,1.0
ADBE,Adobe Inc.,Information Technology,Application Software,Q3,2020,2020-09-15 20:55:06,0.016,0.714,0.27,1.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Q3,2020,2020-01-28 23:04:03,0.029,0.727,0.243,1.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Q3,2020,2020-11-06 23:42:11,0.023,0.743,0.233,1.0
AFL,Aflac,Financials,Life & Health Insurance,Q3,2020,2020-10-28 13:18:50,0.043,0.746,0.211,1.0
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Q3,2020,2020-08-18 21:44:05,0.028,0.736,0.236,1.0
APD,Air Products and Chemicals,Materials,Industrial Gases,Q3,2020,2020-07-23 17:00:00,0.033,0.723,0.244,1.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Q3,2020,2020-10-27 20:07:07,0.041,0.743,0.216,1.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Q3,2020,2020-11-05 15:45:06,0.04,0.778,0.182,1.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Q3,2020,2020-10-27 00:00:00,0.029,0.727,0.243,1.0
ALGN,Align Technology,Health Care,Health Care Supplies,Q3,2020,2020-10-22 00:20:07,0.025,0.726,0.249,1.0
ALLE,Allegion,Industrials,Building Products,Q3,2020,2020-10-22 13:15:04,0.038,0.714,0.248,1.0
LNT,Alliant Energy,Utilities,Electric Utilities,Q3,2020,2020-11-03 13:20:53,0.021,0.765,0.213,0.9999
ALL,Allstate,Financials,Property & Casualty Insurance,Q3,2020,2020-11-05 16:13:07,0.05,0.755,0.195,1.0
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Q3,2020,2020-10-29 23:16:02,0.015,0.689,0.296,1.0
MO,Altria,Consumer Staples,Tobacco,Q3,2020,2020-10-30 14:52:12,0.029,0.731,0.24,1.0
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Q3,2020,2020-10-29 22:40:06,0.028,0.721,0.25,1.0
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Q3,2020,2020-05-12 00:34:28,0.037,0.747,0.216,1.0
AEE,Ameren,Utilities,Multi-Utilities,Q3,2020,2020-11-06 01:29:06,0.016,0.734,0.25,1.0
AAL,American Airlines Group,Industrials,Passenger Airlines,Q3,2020,2020-10-22 17:44:07,0.047,0.763,0.189,1.0
AEP,American Electric Power,Utilities,Electric Utilities,Q3,2020,2020-10-22 17:00:00,0.036,0.756,0.208,1.0
AXP,American Express,Financials,Consumer Finance,Q3,2020,2020-10-23 13:13:07,0.031,0.775,0.194,1.0
AIG,American International Group,Financials,Multi-line Insurance,Q3,2020,2020-11-06 00:00:00,0.06,0.724,0.216,1.0
AMT,American Tower,Real Estate,Telecom Tower REITs,Q3,2020,2020-10-29 14:28:03,0.027,0.749,0.223,1.0
AWK,American Water Works,Utilities,Water Utilities,Q3,2020,2020-11-05 00:00:00,0.022,0.762,0.216,1.0
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Q3,2020,2020-10-29 14:15:56,0.027,0.691,0.282,1.0
AME,Ametek,Industrials,Electrical Components & Equipment,Q3,2020,2020-10-29 13:38:06,0.033,0.697,0.269,1.0
AMGN,Amgen,Health Care,Biotechnology,Q3,2020,2020-10-28 23:30:54,0.032,0.734,0.234,1.0
