ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
MMM,3M,Industrials,Industrial Conglomerates,Q3,2010,2010-10-28 17:00:00,0.03,0.748,0.223,1.0
ABT,Abbott,Health Care,Health Care Equipment,Q3,2010,2010-05-05 21:52:08,0.037,0.741,0.221,0.9999
ACN,Accenture,Information Technology,IT Consulting & Other Services,Q3,2010,2010-06-24 22:18:12,0.03,0.744,0.226,1.0
ADBE,Adobe Inc.,Information Technology,Application Software,Q3,2010,2010-09-22 17:00:00,0.019,0.763,0.218,1.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Q3,2010,2010-11-07 20:58:20,0.042,0.758,0.2,1.0
APD,Air Products and Chemicals,Materials,Industrial Gases,Q3,2010,2010-07-22 18:05:28,0.021,0.749,0.23,1.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Q3,2010,2010-10-27 22:05:14,0.031,0.746,0.222,1.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Q3,2010,2010-11-03 21:10:36,0.039,0.736,0.225,1.0
ALGN,Align Technology,Health Care,Health Care Supplies,Q3,2010,2010-10-21 22:38:16,0.043,0.784,0.173,1.0
ALL,Allstate,Financials,Property & Casualty Insurance,Q3,2010,2010-10-28 21:32:24,0.056,0.708,0.236,1.0
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Q3,2010,2010-10-15 17:00:00,0.021,0.737,0.242,1.0
MO,Altria,Consumer Staples,Tobacco,Q3,2010,2010-10-20 13:05:42,0.022,0.751,0.227,1.0
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Q3,2010,2010-10-22 17:00:00,0.024,0.705,0.271,1.0
AAL,American Airlines Group,Industrials,Passenger Airlines,Q3,2010,2010-10-20 21:14:16,0.039,0.718,0.243,1.0
AEP,American Electric Power,Utilities,Electric Utilities,Q3,2010,2010-10-19 16:44:25,0.037,0.756,0.207,1.0
AXP,American Express,Financials,Consumer Finance,Q3,2010,2010-10-26 05:15:57,0.031,0.76,0.21,1.0
AMT,American Tower,Real Estate,Telecom Tower REITs,Q3,2010,2010-11-05 14:05:12,0.014,0.788,0.197,1.0
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Q3,2010,2010-10-28 13:11:26,0.028,0.726,0.246,1.0
AMGN,Amgen,Health Care,Biotechnology,Q3,2010,2010-10-26 05:15:58,0.021,0.797,0.182,1.0
APH,Amphenol,Information Technology,Electronic Components,Q3,2010,2010-10-20 18:46:15,0.031,0.734,0.235,1.0
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,Q3,2010,2010-11-06 00:05:12,0.038,0.782,0.179,1.0
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Q3,2010,2010-07-20 22:42:13,0.037,0.742,0.221,1.0
ADM,Archer-Daniels-Midland,Consumer Staples,Agricultural Products & Services,Q3,2010,2010-05-04 20:25:19,0.045,0.798,0.157,1.0
AIZ,Assurant,Financials,Multi-line Insurance,Q3,2010,2010-10-28 14:47:18,0.065,0.701,0.234,1.0
T,AT&T,Communication Services,Integrated Telecommunication Services,Q3,2010,2010-10-21 17:00:00,0.025,0.76,0.215,1.0
ADSK,Autodesk,Information Technology,Application Software,Q3,2010,2009-11-18 15:00:22,0.026,0.807,0.167,0.9999
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,Q3,2010,2010-04-27 17:41:10,0.038,0.741,0.22,1.0
AZO,AutoZone,Consumer Discretionary,Automotive Retail,Q3,2010,2010-05-25 12:39:09,0.039,0.721,0.24,1.0
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,Q3,2010,2010-11-01 15:05:12,0.034,0.786,0.18,1.0
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",Q3,2010,2010-10-28 18:05:13,0.018,0.771,0.211,1.0
BK,Bank of New York Mellon,Financials,Asset Management & Custody Banks,Q3,2010,2010-10-19 15:25:36,0.036,0.693,0.271,1.0
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Other Specialty Retail,Q3,2010,2010-11-18 14:47:22,0.02,0.711,0.269,1.0
BAX,Baxter International,Health Care,Health Care Equipment,Q3,2010,2010-10-21 17:00:00,0.03,0.74,0.231,1.0
