ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
MMM,3M,Industrials,Industrial Conglomerates,Q3,2023,2023-10-24 13:22:08,0.038,0.742,0.22,1.0
AOS,A. O. Smith,Industrials,Building Products,Q3,2023,2023-10-26 12:40:10,0.037,0.725,0.238,0.9999
ABT,Abbott,Health Care,Health Care Equipment,Q3,2023,2023-10-18 00:00:00,0.025,0.728,0.247,1.0
ABBV,AbbVie,Health Care,Biotechnology,Q3,2023,2023-10-27 13:34:03,0.044,0.745,0.212,1.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,Q3,2023,2023-06-22 11:46:04,0.017,0.741,0.242,1.0
ADBE,Adobe Inc.,Information Technology,Application Software,Q3,2023,2023-09-14 20:05:25,0.01,0.719,0.27,1.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Q3,2023,2023-10-31 22:59:08,0.027,0.74,0.233,1.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Q3,2023,2023-11-03 17:55:09,0.031,0.741,0.229,1.0
AFL,Aflac,Financials,Life & Health Insurance,Q3,2023,2023-11-02 11:50:10,0.042,0.727,0.231,1.0
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Q3,2023,2023-08-15 20:31:02,0.03,0.756,0.214,1.0
APD,Air Products and Chemicals,Materials,Industrial Gases,Q3,2023,2023-08-03 12:59:09,0.028,0.69,0.282,1.0
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Q3,2023,2023-11-01 21:25:19,0.02,0.751,0.229,1.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Q3,2023,2023-11-07 22:27:11,0.036,0.76,0.204,1.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Q3,2023,2023-11-02 12:42:10,0.04,0.761,0.199,1.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Q3,2023,2023-10-24 20:27:04,0.031,0.732,0.238,1.0
ALGN,Align Technology,Health Care,Health Care Supplies,Q3,2023,2023-10-25 21:22:09,0.043,0.741,0.216,1.0
ALLE,Allegion,Industrials,Building Products,Q3,2023,2023-10-31 12:11:04,0.025,0.719,0.257,1.0
LNT,Alliant Energy,Utilities,Electric Utilities,Q3,2023,2023-11-03 20:15:20,0.011,0.718,0.271,1.0
ALL,Allstate,Financials,Property & Casualty Insurance,Q3,2023,2023-11-02 14:21:05,0.053,0.735,0.212,1.0
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,Q3,2023,2023-10-24 00:00:00,0.012,0.721,0.266,1.0
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Q3,2023,2023-10-24 19:54:15,0.013,0.711,0.276,1.0
MO,Altria,Consumer Staples,Tobacco,Q3,2023,2023-10-26 14:03:08,0.029,0.738,0.233,1.0
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Q3,2023,2023-10-26 22:20:26,0.015,0.761,0.224,1.0
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Q3,2023,2023-05-02 22:38:06,0.036,0.765,0.199,1.0
AEE,Ameren,Utilities,Multi-Utilities,Q3,2023,2023-11-09 14:48:05,0.018,0.718,0.264,1.0
AAL,American Airlines Group,Industrials,Passenger Airlines,Q3,2023,2023-10-19 12:37:10,0.03,0.728,0.242,1.0
AEP,American Electric Power,Utilities,Electric Utilities,Q3,2023,2023-11-02 14:58:09,0.022,0.755,0.223,1.0
AXP,American Express,Financials,Consumer Finance,Q3,2023,2023-10-20 11:34:09,0.013,0.731,0.256,1.0
AIG,American International Group,Financials,Multi-line Insurance,Q3,2023,2023-11-02 00:00:00,0.07,0.739,0.191,1.0
AMT,American Tower,Real Estate,Telecom Tower REITs,Q3,2023,2023-10-26 13:26:12,0.025,0.746,0.229,1.0
AWK,American Water Works,Utilities,Water Utilities,Q3,2023,2023-11-02 11:28:07,0.025,0.744,0.231,1.0
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Q3,2023,2023-10-26 13:13:10,0.019,0.689,0.292,1.0
AME,Ametek,Industrials,Electrical Components & Equipment,Q3,2023,2023-10-31 14:51:10,0.022,0.696,0.281,1.0
AMGN,Amgen,Health Care,Biotechnology,Q3,2023,2023-10-31 13:15:04,0.025,0.745,0.23,1.0
APH,Amphenol,Information Technology,Electronic Components,Q3,2023,2023-10-25 19:41:02,0.022,0.737,0.241,1.0
ADI,Analog Devices,Information Technology,Semiconductors,Q3,2023,2023-08-23 19:03:06,0.038,0.744,0.218,1.0
ANSS,Ansys,Information Technology,Application Software,Q3,2023,2023-11-02 15:06:10,0.032,0.722,0.246,1.0
AON,Aon,Financials,Insurance Brokers,Q3,2023,2023-10-27 10:47:06,0.033,0.704,0.263,1.0
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,Q3,2023,2023-11-02 14:13:01,0.034,0.748,0.219,1.0
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Q3,2023,2023-08-03 21:47:09,0.029,0.741,0.23,1.0
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,Q3,2023,2023-08-17 20:02:11,0.019,0.726,0.254,1.0
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,Q3,2023,2023-11-02 11:30:08,0.04,0.732,0.227,1.0
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,Q3,2023,2023-10-31 16:28:04,0.066,0.714,0.22,1.0
ADM,Archer-Daniels-Midland,Consumer Staples,Agricultural Products & Services,Q3,2023,2023-10-24 12:36:03,0.045,0.703,0.253,1.0
ANET,Arista Networks,Information Technology,Communications Equipment,Q3,2023,2023-10-30 19:55:31,0.024,0.741,0.235,1.0
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Q3,2023,2023-10-26 23:24:10,0.032,0.739,0.23,1.0
AIZ,Assurant,Financials,Multi-line Insurance,Q3,2023,2023-11-01 12:53:09,0.038,0.73,0.233,1.0
T,AT&T,Communication Services,Integrated Telecommunication Services,Q3,2023,2023-10-19 11:37:03,0.03,0.738,0.232,1.0
ATO,Atmos Energy,Utilities,Gas Utilities,Q3,2023,2023-08-03 15:20:22,0.012,0.739,0.25,0.9999
ADSK,Autodesk,Information Technology,Application Software,Q3,2023,2022-11-22 21:48:04,0.023,0.725,0.252,1.0
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,Q3,2023,2023-04-26 12:31:03,0.017,0.693,0.29,1.0
AZO,AutoZone,Consumer Discretionary,Automotive Retail,Q3,2023,2023-05-23 13:48:12,0.029,0.722,0.249,1.0
