ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
MMM,3M,Industrials,Industrial Conglomerates,Q2,2018,2018-07-24 14:15:45,0.016,0.722,0.262,1.0
AOS,A. O. Smith,Industrials,Building Products,Q2,2018,2018-07-25 16:05:18,0.019,0.797,0.183,1.0
ABT,Abbott,Health Care,Health Care Equipment,Q2,2018,2018-07-18 00:00:00,0.023,0.71,0.267,1.0
ABBV,AbbVie,Health Care,Biotechnology,Q2,2018,2018-07-27 17:45:55,0.027,0.712,0.261,1.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,Q2,2018,2018-03-22 16:32:02,0.027,0.731,0.242,1.0
ADBE,Adobe Inc.,Information Technology,Application Software,Q2,2018,2018-06-14 21:02:07,0.011,0.74,0.249,1.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Q2,2018,2017-10-25 22:44:07,0.02,0.789,0.19,1.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Q2,2018,2018-08-07 16:06:02,0.027,0.771,0.202,1.0
AFL,Aflac,Financials,Life & Health Insurance,Q2,2018,2018-07-27 15:10:51,0.058,0.749,0.193,1.0
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Q2,2018,2018-05-14 23:12:03,0.022,0.759,0.219,1.0
APD,Air Products and Chemicals,Materials,Industrial Gases,Q2,2018,2018-04-26 15:27:17,0.023,0.725,0.253,1.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Q2,2018,2018-07-31 21:59:19,0.027,0.748,0.224,1.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Q2,2018,2018-08-08 17:59:25,0.025,0.789,0.186,1.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Q2,2018,2018-08-01 17:00:00,0.016,0.739,0.246,1.0
ALGN,Align Technology,Health Care,Health Care Supplies,Q2,2018,2018-07-25 20:29:09,0.016,0.763,0.221,1.0
ALLE,Allegion,Industrials,Building Products,Q2,2018,2018-07-26 13:07:14,0.022,0.743,0.235,1.0
LNT,Alliant Energy,Utilities,Electric Utilities,Q2,2018,2018-08-03 12:10:59,0.023,0.764,0.214,0.9999
ALL,Allstate,Financials,Property & Casualty Insurance,Q2,2018,2018-08-02 15:05:21,0.048,0.735,0.217,1.0
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Q2,2018,2018-07-24 17:00:00,0.012,0.714,0.274,1.0
MO,Altria,Consumer Staples,Tobacco,Q2,2018,2018-07-26 13:23:08,0.017,0.771,0.212,1.0
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Q2,2018,2018-07-26 20:59:06,0.013,0.74,0.247,1.0
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Q2,2018,2018-07-26 13:15:16,0.019,0.747,0.235,1.0
AEE,Ameren,Utilities,Multi-Utilities,Q2,2018,2018-08-03 16:15:59,0.019,0.74,0.242,1.0
AAL,American Airlines Group,Industrials,Passenger Airlines,Q2,2018,2018-07-26 16:31:04,0.035,0.741,0.224,1.0
AEP,American Electric Power,Utilities,Electric Utilities,Q2,2018,2018-07-25 14:29:10,0.024,0.751,0.225,1.0
AXP,American Express,Financials,Consumer Finance,Q2,2018,2018-07-18 21:26:07,0.01,0.729,0.261,1.0
AIG,American International Group,Financials,Multi-line Insurance,Q2,2018,2018-08-03 12:59:10,0.05,0.738,0.212,1.0
AMT,American Tower,Real Estate,Telecom Tower REITs,Q2,2018,2018-07-26 17:35:04,0.018,0.768,0.214,1.0
AWK,American Water Works,Utilities,Water Utilities,Q2,2018,2018-08-02 17:00:00,0.019,0.754,0.227,1.0
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Q2,2018,2018-07-25 15:33:16,0.031,0.703,0.266,1.0
AME,Ametek,Industrials,Electrical Components & Equipment,Q2,2018,2018-07-31 13:36:27,0.018,0.726,0.256,1.0
AMGN,Amgen,Health Care,Biotechnology,Q2,2018,2018-07-27 01:39:16,0.028,0.753,0.219,1.0
